"r","yr","value"
"al",2000,576.228558847162
"ak",2000,6.25032797065299
"az",2000,485.957897142062
"ar",2000,1307.97722424908
"ca",2000,6854.84305131295
"co",2000,893.260742818246
"ct",2000,132.459687019828
"de",2000,130.669951095905
"fl",2000,1882.91995772957
"ga",2000,1302.81479180743
"hi",2000,150.995212501517
"id",2000,717.593936336983
"il",2000,3108.5370298498
"in",2000,1709.7841683741
"ia",2000,3470.76892046679
"ks",2000,1952.88876618202
"ky",2000,1275.58580124498
"la",2000,613.942873630032
"me",2000,143.859457922295
"md",2000,338.195616347892
"ma",2000,106.154276226584
"mi",2000,910.428355868927
"mn",2000,2205.60712188379
"ms",2000,750.431512545379
"mo",2000,1347.82577788805
"mt",2000,502.644276519179
"ne",2000,2298.58759134299
"nv",2000,65.5315244740958
"nh",2000,32.5935064441172
"nj",2000,246.505529607269
"nm",2000,322.226078147673
"ny",2000,501.109821112023
"nc",2000,1844.26781604163
"nd",2000,1228.42622784721
"oh",2000,1461.0713584659
"ok",2000,817.32816900607
"or",2000,799.658809404143
"pa",2000,699.631723783867
"ri",2000,12.5514634925823
"sc",2000,398.069182891771
"sd",2000,1208.94960477844
"tn",2000,552.291652910882
"tx",2000,2697.02795637207
"ut",2000,163.033483598194
"vt",2000,48.7037361805848
"va",2000,540.538546187624
"wa",2000,1312.92146739262
"wv",2000,59.8818883575925
"wi",2000,921.596099577863
"wy",2000,146.614468801582
"al",2001,674.66472645302
"ak",2001,6.85440919551537
"az",2001,467.205468032541
"ar",2001,1348.10854331445
"ca",2001,7090.51234017785
"co",2001,918.748481961096
"ct",2001,129.100564218594
"de",2001,148.325208675465
"fl",2001,1857.49445040343
"ga",2001,1322.59800679368
"hi",2001,158.036797631539
"id",2001,738.456163126896
"il",2001,3309.63794462688
"in",2001,2012.68897105178
"ia",2001,3499.80321035188
"ks",2001,1988.61241973878
"ky",2001,1278.92467734435
"la",2001,605.437444768387
"me",2001,144.06127710968
"md",2001,365.162353459882
"ma",2001,99.2062423121115
"mi",2001,971.517700911619
"mn",2001,2209.10583731805
"ms",2001,837.125597013939
"mo",2001,1461.07793721757
"mt",2001,460.465209826407
"ne",2001,2428.99315318024
"nv",2001,69.7027148369961
"nh",2001,33.0941904793969
"nj",2001,251.232272384837
"nm",2001,329.601558909102
"ny",2001,512.567762715564
"nc",2001,2024.87232303345
"nd",2001,1352.13266266747
"oh",2001,1524.55044924599
"ok",2001,803.947650645998
"or",2001,855.609021189275
"pa",2001,758.424209378784
"ri",2001,15.6251359280466
"sc",2001,434.406122647089
"sd",2001,1214.94983275123
"tn",2001,681.158169098548
"tx",2001,2912.63275633521
"ut",2001,175.37097060394
"vt",2001,49.3509756709954
"va",2001,577.398903931721
"wa",2001,1404.66739427663
"wv",2001,65.7956456183954
"wi",2001,934.128017607847
"wy",2001,159.506123827835
"al",2002,532.322729731801
"ak",2002,6.49068662605071
"az",2002,511.918481536513
"ar",2002,1328.91006478851
"ca",2002,7212.26821091321
"co",2002,919.304058349439
"ct",2002,131.43044416673
"de",2002,122.214640201129
"fl",2002,1797.70102948076
"ga",2002,1101.5150734846
"hi",2002,152.185797781319
"id",2002,768.702952683652
"il",2002,3371.07107375106
"in",2002,1803.26744680203
