"yr","Dim2","Val"
"1997","IA",77.4274791416282
"1997","FL",407.379032573022
"1997","MD",179.202000597301
"1997","OH",334.059343348575
"1997","TN",150.589870893706
"1997","WI",142.99742964333
"1997","RI",33.9041905521894
"1997","AK",29.0680387106621
"1997","WV",36.6803181024628
"1997","AZ",134.260401470306
"1997","NH",42.4897049891518
"1997","OK",80.7080589647352
"1997","NE",48.7375984664497
"1997","KY",107.786553512918
"1997","NM",61.3519245254012
"1997","IL",399.22522354352
"1997","NC",244.387936118895
"1997","VA",270.399252427227
"1997","CT",133.837594410587
"1997","MI",285.058612756393
"1997","DE",32.8122413692365
"1997","HI",52.1849376053285
"1997","GA",247.966548088813
"1997","CA",1095.20383544311
"1997","ME",30.9477178336693
"1997","MA",256.060147628223
"1997","MS",60.071802018614
"1997","WA",204.280757542376
"1997","TX",607.309614569497
"1997","AL",107.674732508714
"1997","NV",68.3629286666329
"1997","SD",18.6032997872257
"1997","MN",148.405293278989
"1997","VT",15.3517521151681
"1997","MO",158.993326010204
"1997","IN",165.243138268158
"1997","LA",115.193657443467
"1997","KS",75.03359667033
"1997","AR",58.2402167462889
"1997","NY",682.216204214783
"1997","OR",93.641141164693
"1997","ND",17.2250190489681
"1997","SC",100.454433063984
"1997","ID",28.4291126084391
"1997","NJ",297.729873122193
"1997","UT",58.3194904318282
"1997","MT",19.1927356527757
"1997","DC",68.0152551167128
"1997","PA",342.956037985082
"1997","WY",14.4993903356435
"1997","CO",144.352116272551
"1998","IA",79.2408328114956
"1998","FL",435.922962416001
"1998","MD",190.123324035462
"1998","OH",351.323503843377
"1998","TN",162.482536565475
"1998","WI",151.8751667591
"1998","RI",35.6460215437353
"1998","AK",27.9852432345929
"1998","WV",37.892910799708
"1998","AZ",145.322561959571
"1998","NH",44.8598613912109
"1998","OK",83.0039462517447
"1998","NE",50.7370036340308
"1998","KY",113.423765424619
"1998","NM",59.3861506683714
"1998","IL",419.605534635068
"1998","NC",257.159288327487
"1998","VA",288.245839185531
"1998","CT",139.967400828998
"1998","MI",297.834466412621
"1998","DE",36.6482499113959
"1998","HI",53.1211405003673
"1998","GA",270.326121228944
"1998","CA",1170.2229464923
"1998","ME",32.4417529674852
"1998","MA",268.133934860358
"1998","MS",63.2098698998754
"1998","WA",219.886449351775
"1998","TX",643.039827599117
"1998","AL",113.04113617018
"1998","NV",74.0594732498275
"1998","SD",19.9702232773236
"1998","MN",158.909598580537
"1998","VT",15.9981161878784
"1998","MO",164.454552917328
"1998","IN",179.288118026229
"1998","LA",118.912636602002
"1998","KS",79.1441674244403
"1998","AR",60.7849737832431
"1998","NY",708.030559987953
"1998","OR",97.4817476116108
"1998","ND",18.3834197006715
"1998","SC",107.153644278384
"1998","ID",30.0589803791177
"1998","NJ",307.942748961541
"1998","UT",62.6848604575675
"1998","MT",20.4286636307508
"1998","DC",70.6062777335398
"1998","PA",358.71691638792
"1998","WY",14.7610971995599
"1998","CO",158.453813858412
"1999","IA",82.0023630791201
"1999","FL",462.719577206694
"1999","MD",201.115260248184
"1999","OH",365.38265740979
"1999","TN",170.599563846493
"1999","WI",161.060762683802
"1999","RI",37.6788868646144
"1999","AK",28.8366523292476
"1999","WV",39.4637938387777
"1999","AZ",157.375382034834
"1999","NH",46.3487048286741
"1999","OK",86.1019432932884
"1999","NE",52.8341037601082
"1999","KY",119.822992858441
"1999","NM",61.8383054805609
"1999","IL",441.369324015333
"1999","NC",276.541239399491
"1999","VA",310.067546455601
"1999","CT",146.221438930856
"1999","MI",322.487189681349
"1999","DE",40.3169852480443
"1999","HI",55.361221910207
"1999","GA",294.793752233152
"1999","CA",1268.47079283488
"1999","ME",34.6957872167845
"1999","MA",284.832264451684
"1999","MS",66.3075732694934
"1999","WA",240.798970895668
"1999","TX",678.640705425866
"1999","AL",118.518027415973
"1999","NV",81.9636707845112
"1999","SD",21.0035194296495
"1999","MN",166.821660802244
"1999","VT",17.1351421783882
"1999","MO",172.707441648697
"1999","IN",187.433823178916
"1999","LA",125.057895385325
"1999","KS",82.6869236201571
"1999","AR",65.0595842174402
"1999","NY",754.684800065618
"1999","OR",99.4972906412121
"1999","ND",18.5512950729395
"1999","SC",115.072499676192
"1999","ID",33.2892741544086
"1999","NJ",324.145744548063
"1999","UT",66.6157245017521
"1999","MT",20.9456165299337
"1999","DC",75.1669621318114
"1999","PA",374.901264876215
"1999","WY",15.5562733968227
"1999","CO",173.19681407861
"2000","IA",87.3384049370872
"2000","FL",493.078860219627
"2000","MD",213.475627617846
"2000","OH",380.021855918379
"2000","TN",176.617266987614
"2000","WI",168.565074843617
"2000","RI",40.235464752995
"2000","AK",31.2797374082862
"2000","WV",40.3189545273808
"2000","AZ",166.686995146092
"2000","NH",49.6501472930001
"2000","OK",93.066770744158
"2000","NE",55.6985998329594
"2000","KY",119.567662010301
"2000","NM",63.999225339771
"2000","IL",469.208822987408
"2000","NC",289.576779825868
"2000","VA",333.194829855571
"2000","CT",159.78944321422
"2000","MI",334.718018203651
"2000","DE",43.3683903293355
"2000","HI",59.0379635993702
"2000","GA",314.596237604989
"2000","CA",1389.84385713979
"2000","ME",37.1538736256827
"2000","MA",312.092290611989
"2000","MS",68.6195432427634
"2000","WA",250.123879223448
"2000","TX",737.754185098569
"2000","AL",122.350689124076
"2000","NV",87.8943274611977
"2000","SD",22.7655735926246
"2000","MN",181.656047496924
"2000","VT",18.3775106154839
"2000","MO",182.69991455461
"2000","IN",197.076344133852
"2000","LA",131.954428360885
"2000","KS",87.0194690354173
"2000","AR",66.9680576911935
"2000","NY",803.428388915904
"2000","OR",109.122441008082
"2000","ND",19.6120626841182
"2000","SC",120.750341398114
"2000","ID",37.1244975800032
"2000","NJ",349.151879803912
"2000","UT",71.5293019307616
"2000","MT",21.9934996054889
"2000","DC",78.2256914595983
"2000","PA",393.166454650197
"2000","WY",17.0139567647783
"2000","CO",191.165142271295
"2001","IA",88.8403432073872
"2001","FL",522.149778570388
"2001","MD",228.491620471426
"2001","OH",383.968905703814
"2001","TN",180.350002986429
"2001","WI",174.970712728418
"2001","RI",41.9827651125855
"2001","AK",33.6933978529031
"2001","WV",41.6390627004287
"2001","AZ",173.318891512151
"2001","NH",51.0194670650736
"2001","OK",99.2202886550355
"2001","NE",58.5188642332391
"2001","KY",123.597713310224
"2001","NM",65.3861412043482
"2001","IL",482.865762477491
"2001","NC",304.960124344892
"2001","VA",354.148158329655
"2001","CT",165.670394183618
"2001","MI",329.590747747284
"2001","DE",46.4011556286864
"2001","HI",62.5985977243028
"2001","GA",327.378067041227
"2001","CA",1401.79622734267
"2001","ME",38.7689673686973
"2001","MA",318.384395970027
"2001","MS",70.9882685088353
"2001","WA",252.83752371313
"2001","TX",772.615943435118
"2001","AL",126.497965518855
"2001","NV",93.2800268545915
"2001","SD",23.8431562400083
"2001","MN",185.59744978075
"2001","VT",19.2768041372359
"2001","MO",186.796220447357
"2001","IN",197.950765087238
"2001","LA",137.566258557002
"2001","KS",90.0434017316128
"2001","AR",68.8060185749478
"2001","NY",835.82846567089
"2001","OR",108.324786453174
"2001","ND",20.7754233511354
"2001","SC",125.755933520933
"2001","ID",36.6561316192494
"2001","NJ",359.387376921504
"2001","UT",74.4917233694682
"2001","MT",23.1603546180292
"2001","DC",83.6666303249958
"2001","PA",408.349639248424
"2001","WY",18.5514638722706
"2001","CO",197.70052201733
"2002","IA",92.8540297569405
"2002","FL",554.743342753617
"2002","MD",242.131033720692
"2002","OH",400.180167814745
"2002","TN",189.429468277398
"2002","WI",180.917934134579
"2002","RI",43.6145993692034
"2002","AK",35.6761228534563
"2002","WV",43.0046000779197
"2002","AZ",181.136067058051
"2002","NH",52.5168138126407
"2002","OK",101.853773973865
"2002","NE",60.381899089376
"2002","KY",128.112843308172
"2002","NM",67.5997320998084
"2002","IL",492.488650570976
"2002","NC",314.505698248896
"2002","VA",365.190605872403
"2002","CT",168.532597381166
"2002","MI",342.651057656811
"2002","DE",45.5459813248704
"2002","HI",66.2895255305037
"2002","GA",335.528626631798
"2002","CA",1443.73569750055
"2002","ME",40.4814904876628
"2002","MA",323.692793953362
"2002","MS",73.8723159970675
"2002","WA",262.167207871352
"2002","TX",787.819344572558
"2002","AL",132.258542415521
