"hh","state","n","year","sname"
"hh1","0",15070,2000,"united states"
"hh2","0",14049,2000,"united states"
"hh3","0",9213,2000,"united states"
"hh4","0",9093,2000,"united states"
"hh5","0",2202,2000,"united states"
"hh1","1",263,2000,"alabama"
"hh1","2",107,2000,"alaska"
"hh1","4",263,2000,"arizona"
"hh1","5",277,2000,"arkansas"
"hh1","6",1205,2000,"california"
"hh1","8",169,2000,"colorado"
"hh1","9",126,2000,"connecticut"
"hh1","10",123,2000,"delaware"
"hh1","11",186,2000,"district of columbia"
"hh1","12",860,2000,"florida"
"hh1","13",217,2000,"georgia"
"hh1","15",95,2000,"hawaii"
"hh1","16",251,2000,"idaho"
"hh1","17",529,2000,"illinois"
"hh1","18",195,2000,"indiana"
"hh1","19",201,2000,"iowa"
"hh1","20",203,2000,"kansas"
"hh1","21",208,2000,"kentucky"
"hh1","22",258,2000,"louisiana"
"hh1","23",154,2000,"maine"
"hh1","24",139,2000,"maryland"
"hh1","25",331,2000,"massachusetts"
"hh1","26",430,2000,"michigan"
"hh1","27",161,2000,"minnesota"
"hh1","28",226,2000,"mississippi"
"hh1","29",142,2000,"missouri"
"hh1","30",259,2000,"montana"
"hh1","31",214,2000,"nebraska"
"hh1","32",174,2000,"nevada"
"hh1","33",111,2000,"new hampshire"
"hh1","34",364,2000,"new jersey"
"hh1","35",309,2000,"new mexico"
"hh1","36",1063,2000,"new york"
"hh1","37",392,2000,"north carolina"
"hh1","38",237,2000,"north dakota"
"hh1","39",535,2000,"ohio"
"hh1","40",269,2000,"oklahoma"
"hh1","41",160,2000,"oregon"
"hh1","42",563,2000,"pennsylvania"
"hh1","44",167,2000,"rhode island"
"hh1","45",168,2000,"south carolina"
"hh1","46",228,2000,"south dakota"
"hh1","47",233,2000,"tennessee"
"hh1","48",926,2000,"texas"
"hh1","49",143,2000,"utah"
"hh1","50",161,2000,"vermont"
"hh1","51",189,2000,"virginia"
"hh1","53",180,2000,"washington"
"hh1","54",293,2000,"west virginia"
"hh1","55",214,2000,"wisconsin"
"hh1","56",199,2000,"wyoming"
"hh2","1",182,2000,"alabama"
"hh2","2",166,2000,"alaska"
"hh2","4",245,2000,"arizona"
"hh2","5",214,2000,"arkansas"
"hh2","6",1191,2000,"california"
"hh2","8",197,2000,"colorado"
"hh2","9",139,2000,"connecticut"
"hh2","10",141,2000,"delaware"
"hh2","11",136,2000,"district of columbia"
"hh2","12",855,2000,"florida"
"hh2","13",230,2000,"georgia"
"hh2","15",120,2000,"hawaii"
"hh2","16",225,2000,"idaho"
"hh2","17",551,2000,"illinois"
"hh2","18",187,2000,"indiana"
"hh2","19",213,2000,"iowa"
"hh2","20",198,2000,"kansas"
"hh2","21",193,2000,"kentucky"
"hh2","22",181,2000,"louisiana"
"hh2","23",157,2000,"maine"
"hh2","24",137,2000,"maryland"
"hh2","25",269,2000,"massachusetts"
"hh2","26",431,2000,"michigan"
"hh2","27",179,2000,"minnesota"
"hh2","28",179,2000,"mississippi"
"hh2","29",174,2000,"missouri"
"hh2","30",206,2000,"montana"
"hh2","31",214,2000,"nebraska"
"hh2","32",230,2000,"nevada"
"hh2","33",125,2000,"new hampshire"
"hh2","34",363,2000,"new jersey"
"hh2","35",247,2000,"new mexico"
"hh2","36",789,2000,"new york"
"hh2","37",372,2000,"north carolina"
"hh2","38",189,2000,"north dakota"
"hh2","39",502,2000,"ohio"
"hh2","40",241,2000,"oklahoma"
"hh2","41",186,2000,"oregon"
"hh2","42",556,2000,"pennsylvania"
"hh2","44",118,2000,"rhode island"
"hh2","45",150,2000,"south carolina"
"hh2","46",198,2000,"south dakota"
"hh2","47",193,2000,"tennessee"
"hh2","48",793,2000,"texas"
"hh2","49",205,2000,"utah"
"hh2","50",131,2000,"vermont"
"hh2","51",196,2000,"virginia"
"hh2","53",175,2000,"washington"
"hh2","54",194,2000,"west virginia"
"hh2","55",184,2000,"wisconsin"
"hh2","56",202,2000,"wyoming"
"hh3","1",115,2000,"alabama"
"hh3","2",125,2000,"alaska"
"hh3","4",173,2000,"arizona"
"hh3","5",101,2000,"arkansas"
"hh3","6",791,2000,"california"
"hh3","8",152,2000,"colorado"
"hh3","9",99,2000,"connecticut"
"hh3","10",114,2000,"delaware"
"hh3","11",78,2000,"district of columbia"
"hh3","12",485,2000,"florida"
"hh3","13",150,2000,"georgia"
"hh3","15",86,2000,"hawaii"
"hh3","16",150,2000,"idaho"
"hh3","17",391,2000,"illinois"
"hh3","18",124,2000,"indiana"
"hh3","19",142,2000,"iowa"
"hh3","20",110,2000,"kansas"
"hh3","21",124,2000,"kentucky"
"hh3","22",79,2000,"louisiana"
"hh3","23",105,2000,"maine"
"hh3","24",117,2000,"maryland"
"hh3","25",211,2000,"massachusetts"
"hh3","26",305,2000,"michigan"
"hh3","27",143,2000,"minnesota"
"hh3","28",87,2000,"mississippi"
"hh3","29",137,2000,"missouri"
"hh3","30",96,2000,"montana"
"hh3","31",113,2000,"nebraska"
"hh3","32",148,2000,"nevada"
"hh3","33",99,2000,"new hampshire"
"hh3","34",276,2000,"new jersey"
"hh3","35",148,2000,"new mexico"
"hh3","36",532,2000,"new york"
"hh3","37",223,2000,"north carolina"
"hh3","38",121,2000,"north dakota"
"hh3","39",397,2000,"ohio"
"hh3","40",98,2000,"oklahoma"
"hh3","41",106,2000,"oregon"
"hh3","42",399,2000,"pennsylvania"
"hh3","44",87,2000,"rhode island"
"hh3","45",73,2000,"south carolina"
"hh3","46",137,2000,"south dakota"
"hh3","47",100,2000,"tennessee"
"hh3","48",490,2000,"texas"
"hh3","49",126,2000,"utah"
"hh3","50",90,2000,"vermont"
"hh3","51",154,2000,"virginia"
"hh3","53",101,2000,"washington"
"hh3","54",122,2000,"west virginia"
"hh3","55",153,2000,"wisconsin"
"hh3","56",130,2000,"wyoming"
"hh4","1",106,2000,"alabama"
"hh4","2",130,2000,"alaska"
"hh4","4",128,2000,"arizona"
"hh4","5",73,2000,"arkansas"
"hh4","6",898,2000,"california"
"hh4","8",155,2000,"colorado"
"hh4","9",128,2000,"connecticut"
"hh4","10",122,2000,"delaware"
"hh4","11",97,2000,"district of columbia"
"hh4","12",448,2000,"florida"
"hh4","13",119,2000,"georgia"
"hh4","15",100,2000,"hawaii"
"hh4","16",109,2000,"idaho"
"hh4","17",483,2000,"illinois"
"hh4","18",118,2000,"indiana"
"hh4","19",100,2000,"iowa"
"hh4","20",117,2000,"kansas"
"hh4","21",96,2000,"kentucky"
"hh4","22",82,2000,"louisiana"
"hh4","23",83,2000,"maine"
"hh4","24",129,2000,"maryland"
"hh4","25",236,2000,"massachusetts"
"hh4","26",360,2000,"michigan"
"hh4","27",158,2000,"minnesota"
"hh4","28",64,2000,"mississippi"
"hh4","29",114,2000,"missouri"
"hh4","30",79,2000,"montana"
"hh4","31",118,2000,"nebraska"
"hh4","32",113,2000,"nevada"
"hh4","33",110,2000,"new hampshire"
"hh4","34",355,2000,"new jersey"
"hh4","35",112,2000,"new mexico"
"hh4","36",608,2000,"new york"
"hh4","37",209,2000,"north carolina"
"hh4","38",65,2000,"north dakota"
"hh4","39",353,2000,"ohio"
"hh4","40",91,2000,"oklahoma"
"hh4","41",114,2000,"oregon"
"hh4","42",414,2000,"pennsylvania"
"hh4","44",105,2000,"rhode island"
"hh4","45",93,2000,"south carolina"
"hh4","46",85,2000,"south dakota"
"hh4","47",81,2000,"tennessee"
"hh4","48",425,2000,"texas"
"hh4","49",106,2000,"utah"
"hh4","50",76,2000,"vermont"
"hh4","51",174,2000,"virginia"
"hh4","53",131,2000,"washington"
"hh4","54",77,2000,"west virginia"
"hh4","55",156,2000,"wisconsin"
"hh4","56",90,2000,"wyoming"
"hh5","1",17,2000,"alabama"
"hh5","2",29,2000,"alaska"
"hh5","4",35,2000,"arizona"
"hh5","5",12,2000,"arkansas"
"hh5","6",252,2000,"california"
"hh5","8",43,2000,"colorado"
"hh5","9",35,2000,"connecticut"
"hh5","10",19,2000,"delaware"
"hh5","11",46,2000,"district of columbia"
"hh5","12",92,2000,"florida"
"hh5","13",33,2000,"georgia"
"hh5","15",24,2000,"hawaii"
"hh5","16",15,2000,"idaho"
"hh5","17",101,2000,"illinois"
"hh5","18",18,2000,"indiana"
"hh5","19",31,2000,"iowa"
"hh5","20",16,2000,"kansas"
"hh5","21",24,2000,"kentucky"
"hh5","22",11,2000,"louisiana"
"hh5","23",22,2000,"maine"
"hh5","24",43,2000,"maryland"
"hh5","25",75,2000,"massachusetts"
"hh5","26",82,2000,"michigan"
"hh5","27",42,2000,"minnesota"
"hh5","28",10,2000,"mississippi"
"hh5","29",15,2000,"missouri"
"hh5","30",17,2000,"montana"
"hh5","31",23,2000,"nebraska"
"hh5","32",37,2000,"nevada"
"hh5","33",27,2000,"new hampshire"
"hh5","34",108,2000,"new jersey"
"hh5","35",12,2000,"new mexico"
"hh5","36",203,2000,"new york"
"hh5","37",31,2000,"north carolina"
"hh5","38",10,2000,"north dakota"
"hh5","39",74,2000,"ohio"
"hh5","40",20,2000,"oklahoma"
"hh5","41",28,2000,"oregon"
"hh5","42",89,2000,"pennsylvania"
"hh5","44",22,2000,"rhode island"
"hh5","45",12,2000,"south carolina"
"hh5","46",13,2000,"south dakota"
"hh5","47",28,2000,"tennessee"
"hh5","48",119,2000,"texas"
"hh5","49",24,2000,"utah"
"hh5","50",20,2000,"vermont"
"hh5","51",57,2000,"virginia"
"hh5","53",36,2000,"washington"
"hh5","54",5,2000,"west virginia"
"hh5","55",29,2000,"wisconsin"
"hh5","56",16,2000,"wyoming"
"hh1","0",21913,2001,"united states"
"hh2","0",21578,2001,"united states"
"hh3","0",14839,2001,"united states"
"hh4","0",15981,2001,"united states"
"hh5","0",3949,2001,"united states"
"hh1","1",453,2001,"alabama"
"hh1","2",192,2001,"alaska"
"hh1","4",298,2001,"arizona"
"hh1","5",349,2001,"arkansas"
"hh1","6",1464,2001,"california"
"hh1","8",352,2001,"colorado"
"hh1","9",298,2001,"connecticut"
"hh1","10",201,2001,"delaware"
"hh1","11",358,2001,"district of columbia"
"hh1","12",1173,2001,"florida"
"hh1","13",324,2001,"georgia"
"hh1","15",263,2001,"hawaii"
"hh1","16",281,2001,"idaho"
"hh1","17",685,2001,"illinois"
"hh1","18",399,2001,"indiana"
"hh1","19",329,2001,"iowa"
"hh1","20",358,2001,"kansas"
"hh1","21",346,2001,"kentucky"
"hh1","22",351,2001,"louisiana"
"hh1","23",405,2001,"maine"
"hh1","24",280,2001,"maryland"
"hh1","25",362,2001,"massachusetts"
"hh1","26",554,2001,"michigan"
"hh1","27",265,2001,"minnesota"
"hh1","28",347,2001,"mississippi"
"hh1","29",309,2001,"missouri"
"hh1","30",311,2001,"montana"
"hh1","31",301,2001,"nebraska"
"hh1","32",319,2001,"nevada"
"hh1","33",259,2001,"new hampshire"
"hh1","34",455,2001,"new jersey"
"hh1","35",394,2001,"new mexico"
"hh1","36",1299,2001,"new york"
"hh1","37",521,2001,"north carolina"
"hh1","38",358,2001,"north dakota"
"hh1","39",674,2001,"ohio"
"hh1","40",354,2001,"oklahoma"
"hh1","41",320,2001,"oregon"
"hh1","42",711,2001,"pennsylvania"
"hh1","44",374,2001,"rhode island"
"hh1","45",321,2001,"south carolina"
"hh1","46",332,2001,"south dakota"
"hh1","47",310,2001,"tennessee"
"hh1","48",1073,2001,"texas"
"hh1","49",203,2001,"utah"
"hh1","50",297,2001,"vermont"
"hh1","51",310,2001,"virginia"
"hh1","53",354,2001,"washington"
"hh1","54",446,2001,"west virginia"
"hh1","55",343,2001,"wisconsin"
"hh1","56",278,2001,"wyoming"
"hh2","1",323,2001,"alabama"
"hh2","2",255,2001,"alaska"
"hh2","4",300,2001,"arizona"
"hh2","5",260,2001,"arkansas"
"hh2","6",1478,2001,"california"
"hh2","8",419,2001,"colorado"
"hh2","9",311,2001,"connecticut"
"hh2","10",275,2001,"delaware"
"hh2","11",278,2001,"district of columbia"
"hh2","12",1032,2001,"florida"
"hh2","13",326,2001,"georgia"
"hh2","15",284,2001,"hawaii"
"hh2","16",326,2001,"idaho"
"hh2","17",741,2001,"illinois"
"hh2","18",386,2001,"indiana"
"hh2","19",374,2001,"iowa"
"hh2","20",354,2001,"kansas"
"hh2","21",317,2001,"kentucky"
"hh2","22",245,2001,"louisiana"
"hh2","23",368,2001,"maine"
"hh2","24",291,2001,"maryland"
"hh2","25",305,2001,"massachusetts"
"hh2","26",572,2001,"michigan"
"hh2","27",355,2001,"minnesota"
"hh2","28",218,2001,"mississippi"
"hh2","29",342,2001,"missouri"
"hh2","30",280,2001,"montana"
"hh2","31",363,2001,"nebraska"
"hh2","32",490,2001,"nevada"
"hh2","33",283,2001,"new hampshire"
"hh2","34",460,2001,"new jersey"
"hh2","35",321,2001,"new mexico"
"hh2","36",1003,2001,"new york"
"hh2","37",531,2001,"north carolina"
"hh2","38",329,2001,"north dakota"
"hh2","39",695,2001,"ohio"
"hh2","40",333,2001,"oklahoma"
"hh2","41",355,2001,"oregon"
"hh2","42",715,2001,"pennsylvania"
"hh2","44",313,2001,"rhode island"
"hh2","45",281,2001,"south carolina"
"hh2","46",383,2001,"south dakota"
"hh2","47",297,2001,"tennessee"
"hh2","48",1011,2001,"texas"
"hh2","49",276,2001,"utah"
"hh2","50",328,2001,"vermont"
"hh2","51",340,2001,"virginia"
"hh2","53",383,2001,"washington"
"hh2","54",317,2001,"west virginia"
"hh2","55",431,2001,"wisconsin"
"hh2","56",325,2001,"wyoming"
"hh3","1",214,2001,"alabama"
"hh3","2",229,2001,"alaska"
"hh3","4",223,2001,"arizona"
"hh3","5",163,2001,"arkansas"
"hh3","6",998,2001,"california"
"hh3","8",287,2001,"colorado"
"hh3","9",272,2001,"connecticut"
"hh3","10",216,2001,"delaware"
"hh3","11",174,2001,"district of columbia"
"hh3","12",555,2001,"florida"
"hh3","13",233,2001,"georgia"
"hh3","15",209,2001,"hawaii"
"hh3","16",194,2001,"idaho"
"hh3","17",582,2001,"illinois"
"hh3","18",269,2001,"indiana"
"hh3","19",313,2001,"iowa"
"hh3","20",260,2001,"kansas"
"hh3","21",179,2001,"kentucky"
"hh3","22",130,2001,"louisiana"
"hh3","23",236,2001,"maine"
"hh3","24",228,2001,"maryland"
"hh3","25",275,2001,"massachusetts"
"hh3","26",405,2001,"michigan"
"hh3","27",329,2001,"minnesota"
"hh3","28",130,2001,"mississippi"
"hh3","29",250,2001,"missouri"
"hh3","30",152,2001,"montana"
"hh3","31",277,2001,"nebraska"
"hh3","32",288,2001,"nevada"
"hh3","33",267,2001,"new hampshire"
"hh3","34",351,2001,"new jersey"
"hh3","35",186,2001,"new mexico"
"hh3","36",695,2001,"new york"
"hh3","37",300,2001,"north carolina"
"hh3","38",235,2001,"north dakota"
"hh3","39",450,2001,"ohio"
"hh3","40",196,2001,"oklahoma"
"hh3","41",230,2001,"oregon"
"hh3","42",530,2001,"pennsylvania"
"hh3","44",240,2001,"rhode island"
"hh3","45",173,2001,"south carolina"
"hh3","46",270,2001,"south dakota"
"hh3","47",161,2001,"tennessee"
"hh3","48",576,2001,"texas"
"hh3","49",229,2001,"utah"
"hh3","50",217,2001,"vermont"
"hh3","51",250,2001,"virginia"
"hh3","53",275,2001,"washington"
"hh3","54",183,2001,"west virginia"
"hh3","55",326,2001,"wisconsin"
"hh3","56",229,2001,"wyoming"
"hh4","1",223,2001,"alabama"
"hh4","2",319,2001,"alaska"
"hh4","4",216,2001,"arizona"
"hh4","5",111,2001,"arkansas"
"hh4","6",1247,2001,"california"
"hh4","8",390,2001,"colorado"
"hh4","9",350,2001,"connecticut"
"hh4","10",250,2001,"delaware"
"hh4","11",167,2001,"district of columbia"
"hh4","12",594,2001,"florida"
"hh4","13",191,2001,"georgia"
"hh4","15",246,2001,"hawaii"
"hh4","16",147,2001,"idaho"
"hh4","17",635,2001,"illinois"
"hh4","18",263,2001,"indiana"
"hh4","19",216,2001,"iowa"
"hh4","20",260,2001,"kansas"
"hh4","21",199,2001,"kentucky"
"hh4","22",151,2001,"louisiana"
"hh4","23",230,2001,"maine"
"hh4","24",340,2001,"maryland"
"hh4","25",406,2001,"massachusetts"
"hh4","26",488,2001,"michigan"
"hh4","27",378,2001,"minnesota"
"hh4","28",99,2001,"mississippi"
"hh4","29",242,2001,"missouri"
"hh4","30",104,2001,"montana"
"hh4","31",257,2001,"nebraska"
"hh4","32",316,2001,"nevada"
"hh4","33",330,2001,"new hampshire"
"hh4","34",500,2001,"new jersey"
"hh4","35",133,2001,"new mexico"
"hh4","36",837,2001,"new york"
"hh4","37",272,2001,"north carolina"
"hh4","38",153,2001,"north dakota"
"hh4","39",523,2001,"ohio"
"hh4","40",166,2001,"oklahoma"
"hh4","41",249,2001,"oregon"
"hh4","42",567,2001,"pennsylvania"
"hh4","44",345,2001,"rhode island"
"hh4","45",154,2001,"south carolina"
"hh4","46",196,2001,"south dakota"
"hh4","47",162,2001,"tennessee"
"hh4","48",640,2001,"texas"
"hh4","49",232,2001,"utah"
"hh4","50",233,2001,"vermont"
"hh4","51",339,2001,"virginia"
"hh4","53",263,2001,"washington"
"hh4","54",136,2001,"west virginia"
"hh4","55",343,2001,"wisconsin"
"hh4","56",173,2001,"wyoming"
"hh5","1",35,2001,"alabama"
"hh5","2",63,2001,"alaska"
"hh5","4",49,2001,"arizona"
"hh5","5",21,2001,"arkansas"
"hh5","6",382,2001,"california"
"hh5","8",111,2001,"colorado"
"hh5","9",116,2001,"connecticut"
"hh5","10",59,2001,"delaware"
"hh5","11",68,2001,"district of columbia"
"hh5","12",151,2001,"florida"
"hh5","13",44,2001,"georgia"
"hh5","15",57,2001,"hawaii"
"hh5","16",34,2001,"idaho"
"hh5","17",150,2001,"illinois"
"hh5","18",68,2001,"indiana"
"hh5","19",47,2001,"iowa"
"hh5","20",66,2001,"kansas"
"hh5","21",45,2001,"kentucky"
"hh5","22",23,2001,"louisiana"
"hh5","23",30,2001,"maine"
"hh5","24",127,2001,"maryland"
"hh5","25",121,2001,"massachusetts"
"hh5","26",122,2001,"michigan"
"hh5","27",84,2001,"minnesota"
"hh5","28",18,2001,"mississippi"
"hh5","29",49,2001,"missouri"
"hh5","30",10,2001,"montana"
"hh5","31",33,2001,"nebraska"
"hh5","32",58,2001,"nevada"
"hh5","33",85,2001,"new hampshire"
"hh5","34",201,2001,"new jersey"
"hh5","35",23,2001,"new mexico"
"hh5","36",251,2001,"new york"
"hh5","37",55,2001,"north carolina"
"hh5","38",22,2001,"north dakota"
"hh5","39",105,2001,"ohio"
"hh5","40",18,2001,"oklahoma"
"hh5","41",47,2001,"oregon"
"hh5","42",168,2001,"pennsylvania"
"hh5","44",82,2001,"rhode island"
"hh5","45",28,2001,"south carolina"
"hh5","46",18,2001,"south dakota"
"hh5","47",40,2001,"tennessee"
"hh5","48",181,2001,"texas"
"hh5","49",38,2001,"utah"
"hh5","50",44,2001,"vermont"
"hh5","51",94,2001,"virginia"
"hh5","53",86,2001,"washington"
"hh5","54",26,2001,"west virginia"
"hh5","55",82,2001,"wisconsin"
"hh5","56",14,2001,"wyoming"
"hh1","0",22125,2002,"united states"
"hh2","0",21360,2002,"united states"
"hh3","0",14759,2002,"united states"
"hh4","0",16072,2002,"united states"
"hh5","0",3991,2002,"united states"
"hh1","1",409,2002,"alabama"
"hh1","2",213,2002,"alaska"
"hh1","4",305,2002,"arizona"
"hh1","5",355,2002,"arkansas"
"hh1","6",1502,2002,"california"
"hh1","8",363,2002,"colorado"
"hh1","9",322,2002,"connecticut"
"hh1","10",205,2002,"delaware"
"hh1","11",368,2002,"district of columbia"
"hh1","12",1115,2002,"florida"
"hh1","13",335,2002,"georgia"
"hh1","15",270,2002,"hawaii"
"hh1","16",266,2002,"idaho"
"hh1","17",746,2002,"illinois"
"hh1","18",414,2002,"indiana"
"hh1","19",314,2002,"iowa"
"hh1","20",355,2002,"kansas"
"hh1","21",343,2002,"kentucky"
"hh1","22",365,2002,"louisiana"
"hh1","23",394,2002,"maine"
"hh1","24",259,2002,"maryland"
"hh1","25",357,2002,"massachusetts"
"hh1","26",621,2002,"michigan"
"hh1","27",267,2002,"minnesota"
"hh1","28",332,2002,"mississippi"
"hh1","29",315,2002,"missouri"
"hh1","30",296,2002,"montana"
"hh1","31",315,2002,"nebraska"
"hh1","32",358,2002,"nevada"
"hh1","33",248,2002,"new hampshire"
"hh1","34",442,2002,"new jersey"
"hh1","35",361,2002,"new mexico"
"hh1","36",1236,2002,"new york"
"hh1","37",566,2002,"north carolina"
"hh1","38",339,2002,"north dakota"
"hh1","39",644,2002,"ohio"
"hh1","40",353,2002,"oklahoma"
"hh1","41",336,2002,"oregon"
"hh1","42",729,2002,"pennsylvania"
"hh1","44",362,2002,"rhode island"
"hh1","45",337,2002,"south carolina"
"hh1","46",360,2002,"south dakota"
"hh1","47",335,2002,"tennessee"
"hh1","48",1118,2002,"texas"
"hh1","49",206,2002,"utah"
"hh1","50",292,2002,"vermont"
"hh1","51",315,2002,"virginia"
"hh1","53",354,2002,"washington"
"hh1","54",463,2002,"west virginia"
"hh1","55",355,2002,"wisconsin"
"hh1","56",295,2002,"wyoming"
"hh2","1",305,2002,"alabama"
"hh2","2",304,2002,"alaska"
"hh2","4",325,2002,"arizona"
"hh2","5",266,2002,"arkansas"
"hh2","6",1473,2002,"california"
"hh2","8",437,2002,"colorado"
