"yr","r","s","Val"
"1997","IA","ppd",0.207865845680756
"1997","IA","res",0.266279266965024
"1997","IA","com",0.0306046212419195
"1997","IA","amb",0.535660052970816
"1997","IA","fbp",1.91150916633901
"1997","IA","rec",0.0371301745721695
"1997","IA","con",0.854306314475105
"1997","IA","agr",4.85982659499212
"1997","IA","eec",0.423790296339819
"1997","IA","fnd",0.198634287008136
"1997","IA","pub",0.325765216368789
"1997","IA","hou",4.82504691526301
"1997","IA","fbt",0.214575502885576
"1997","IA","ins",1.62182931621164
"1997","IA","tex",0.00514730759918433
"1997","IA","leg",0.226416889368825
"1997","IA","fen",0.0945826492960143
"1997","IA","uti",1.12346687600942
"1997","IA","nmp",0.39005883786038
"1997","IA","brd",0.903802724386836
"1997","IA","bnk",0.892705013164677
"1997","IA","ore",1.08277341422358
"1997","IA","edu",0.145676028465614
"1997","IA","ote",0.010367971743434
"1997","IA","man",0.0456869187164708
"1997","IA","mch",1.70504933246325
"1997","IA","dat",0.0945425118348031
"1997","IA","amd",0.13861044061524
"1997","IA","oil",0.000546628243640156
"1997","IA","hos",0.136405143653885
"1997","IA","rnt",0.374055909424917
"1997","IA","pla",0.413729583132771
"1997","IA","fof",0.144790406032922
"1997","IA","fin",0.00328168631151304
"1997","IA","tsv",0.582859804199479
"1997","IA","nrs",0.0476604412601253
"1997","IA","sec",0.0632621916915331
"1997","IA","art",0.108296125692795
"1997","IA","mov",0.0119914277566673
"1997","IA","fpd",0.219893786691531
"1997","IA","slg",0.908569518138478
"1997","IA","pri",0.0624751720524114
"1997","IA","grd",0.0159431512476199
"1997","IA","pip",0.000269675545304507
"1997","IA","sle",0.103496070316493
"1997","IA","osv",0.538963624259743
"1997","IA","trn",0.177123702132253
"1997","IA","smn",0.000715380205601215
"1997","IA","fmt",0.474950983756575
"1997","IA","pet",0.0710902726392496
"1997","IA","mvt",0.262636164026218
"1997","IA","cep",0.157974547799887
"1997","IA","wst",0.0340493451161659
"1997","IA","mot",0.181514772553403
"1997","IA","adm",0.30926935589503
"1997","IA","soc",0.0306289014586995
"1997","IA","alt",0.00894572411276673
"1997","IA","pmt",0.253516627708203
"1997","IA","trk",0.257140454757078
"1997","IA","fdd",0.386430639296104
"1997","IA","gmt",0.155207884119566
"1997","IA","wtt",0.00821988650494755
"1997","IA","wpd",0.138802615427241
"1997","IA","wht",1.28878586696726
"1997","IA","wrh",0.0385064474488039
"1997","IA","ott",0.653701576289808
"1997","IA","che",1.73897732029995
"1997","IA","air",0.0168869595739755
"1997","IA","mmf",0.113237430083936
"1997","IA","otr",0.10052710185808
"1997","IA","min",0.0601458155354438
"1997","FL","ppd",0.483805717259037
"1997","FL","res",4.29574251620218
"1997","FL","com",0.29166856790577
"1997","FL","amb",2.62574820127856
"1997","FL","fbp",1.55002859530858
"1997","FL","rec",0.564028520789838
"1997","FL","con",7.18752065436111
"1997","FL","agr",3.11175077387892
"1997","FL","eec",0.187728022855531
"1997","FL","fnd",1.16915338849005
"1997","FL","pub",1.15511906807633
"1997","FL","hou",35.6681010885316
"1997","FL","fbt",1.15676134643609
"1997","FL","ins",2.95012962425185
"1997","FL","tex",0.0383325530757772
"1997","FL","leg",1.04955157461667
"1997","FL","fen",0.556709652610339
"1997","FL","uti",5.38594640720984
"1997","FL","nmp",0.524833289161788
"1997","FL","brd",7.62743370553279
"1997","FL","bnk",2.90248020716127
"1997","FL","ore",8.00416499005085
"1997","FL","edu",0.486244985632281
"1997","FL","ote",1.6837504972529
"1997","FL","man",0.434035883708149
"1997","FL","mch",0.111095731325207
"1997","FL","dat",0.425562828020087
"1997","FL","amd",1.01197357700617
"1997","FL","oil",0.0595843860930008
"1997","FL","hos",0.9141430879037
"1997","FL","rnt",6.40130365022423
"1997","FL","pla",0.327489115018419
"1997","FL","fof",0.467520844852451
"1997","FL","fin",0.125251426654879
"1997","FL","tsv",4.1560189738303
"1997","FL","nrs",0.319404838976854
"1997","FL","sec",0.627360180865783
"1997","FL","art",0.957060375037099
"1997","FL","mov",0.539198207793169
"1997","FL","fpd",0.165357463288338
"1997","FL","slg",12.6768903799981
"1997","FL","pri",0.118210513841036
"1997","FL","grd",0.273571611366657
"1997","FL","pip",0.000801261914032221
"1997","FL","sle",1.44403737080116
"1997","FL","osv",2.13944037602516
"1997","FL","trn",0.0674377904701322
"1997","FL","smn",0.00226060144969984
"1997","FL","fmt",0.644717606952176
"1997","FL","pet",0.206572128249866
"1997","FL","mvt",1.41585296847136
"1997","FL","cep",1.15476798964475
"1997","FL","wst",0.361858233364507
"1997","FL","mot",0.0336703976406648
"1997","FL","adm",2.89255320274905
"1997","FL","soc",0.108429619383392
"1997","FL","alt",0.203492653854144
"1997","FL","pmt",0.110225901358134
"1997","FL","trk",1.04104269867992
"1997","FL","fdd",1.60092521530678
"1997","FL","gmt",0.836714716252517
"1997","FL","wtt",0.403636495611204
"1997","FL","wpd",0.162704634956154
"1997","FL","wht",7.1123033912096
"1997","FL","wrh",0.0972086212263601
"1997","FL","ott",3.52405892279153
"1997","FL","che",1.38760440876073
"1997","FL","air",1.85784615669014
"1997","FL","mmf",1.15104717890444
"1997","FL","otr",1.67013098161995
"1997","FL","min",0.152550514451503
"1997","MD","ppd",0.0524580610435067
"1997","MD","res",2.62395433859327
"1997","MD","com",0.32171373698412
"1997","MD","amb",0.856594243655715
"1997","MD","fbp",1.09244310548757
"1997","MD","rec",0.203434356236434
"1997","MD","con",2.02169498862394
"1997","MD","agr",0.418924725751883
"1997","MD","eec",0.0435381455416786
"1997","MD","fnd",1.05514465224792
"1997","MD","pub",0.404239741496941
"1997","MD","hou",14.3320400524581
"1997","MD","fbt",0.356060540688283
"1997","MD","ins",1.61632779176509
"1997","MD","tex",0.0263434012913015
"1997","MD","leg",0.418982738648108
"1997","MD","fen",0.502422709106822
"1997","MD","uti",1.70139396694324
"1997","MD","nmp",0.146028345884861
"1997","MD","brd",2.41387462550856
"1997","MD","bnk",0.295400560385905
"1997","MD","ore",3.21620747174501
"1997","MD","edu",0.33887367097607
"1997","MD","ote",0.113926389747049
