"yr","r","s","Val"
"1997","IA","ppd",0.199296396955588
"1997","IA","res",0.553463728281941
"1997","IA","com",0.224867757154375
"1997","IA","amb",1.78134538674124
"1997","IA","fbp",1.62433427107179
"1997","IA","rec",0.117479921103315
"1997","IA","con",2.19608723181969
"1997","IA","agr",0.310169961567246
"1997","IA","eec",0.498627073169966
"1997","IA","fnd",0.881425652129725
"1997","IA","pub",0.429603253563552
"1997","IA","hou",0.184697546969538
"1997","IA","fbt",0.57176517543107
"1997","IA","ins",1.68889666500309
"1997","IA","tex",0.0274449072892796
"1997","IA","leg",0.288346492145133
"1997","IA","fen",0.419703841625701
"1997","IA","uti",0.467561773928203
"1997","IA","nmp",0.26179893554219
"1997","IA","brd",0.539262979210338
"1997","IA","bnk",1.0799198124101
"1997","IA","ore",0.0414473883970566
"1997","IA","edu",0.547674606805101
"1997","IA","ote",0.0379013710573297
"1997","IA","man",0.343409048789622
"1997","IA","mch",1.94554962368483
"1997","IA","dat",0.222811843122568
"1997","IA","amd",0.328940586564745
"1997","IA","oil",0.000200435246657977
"1997","IA","hos",1.10780934677975
"1997","IA","rnt",0.12174617393049
"1997","IA","pla",0.613000197280399
"1997","IA","fof",0.0525042564500574
"1997","IA","fin",0.00058325769385941
"1997","IA","tsv",0.86031370889003
"1997","IA","nrs",0.387072517100863
"1997","IA","sec",0.215916147752255
"1997","IA","art",0.176588963946578
"1997","IA","mov",0.074126130174318
"1997","IA","fpd",0.298547364712762
"1997","IA","slg",1.07925731951582
"1997","IA","pri",0.356778543730625
"1997","IA","grd",0.0283848933020437
"1997","IA","pip",0.0209597826600558
"1997","IA","sle",0.122939289950045
"1997","IA","osv",1.33321086276188
"1997","IA","trn",0.276127507178398
"1997","IA","smn",0.001683831544328
"1997","IA","fmt",0.812780474163553
"1997","IA","pet",0.0229690613158327
"1997","IA","mvt",0.699829246021021
"1997","IA","cep",0.677338298942037
"1997","IA","wst",0.0568529481925759
"1997","IA","mot",0.676929729376801
"1997","IA","adm",0.978035732937928
"1997","IA","soc",0.576469836730594
"1997","IA","alt",0.104719998191471
"1997","IA","pmt",0.435971701321999
"1997","IA","trk",0.781854525277132
"1997","IA","fdd",0.938957844099368
"1997","IA","gmt",0.413572201386062
"1997","IA","wtt",0.0134630148661322
"1997","IA","wpd",0.299850891208176
"1997","IA","wht",2.67103688573287
"1997","IA","wrh",0.231058672986031
"1997","IA","ott",1.74187543042237
"1997","IA","che",0.363204946095824
"1997","IA","air",0.0327824604325683
"1997","IA","mmf",0.236496439387133
"1997","IA","otr",0.231168203499303
"1997","IA","min",0.0762395592833795
"1997","FL","ppd",0.702344648295403
"1997","FL","res",7.20892641709144
"1997","FL","com",1.99104075645438
"1997","FL","amb",12.8368208212905
"1997","FL","fbp",1.66881910481974
"1997","FL","rec",1.64719941492373
"1997","FL","con",12.3068332344154
"1997","FL","agr",0.879733862089561
"1997","FL","eec",0.499480304647915
"1997","FL","fnd",4.7471398403517
"1997","FL","pub",1.80946101759245
"1997","FL","hou",2.18882681831016
"1997","FL","fbt",3.3776535451503
"1997","FL","ins",5.61472307529185
"1997","FL","tex",0.283914509263575
"1997","FL","leg",5.06967152412075
"1997","FL","fen",2.26042074327647
"1997","FL","uti",1.8806400281145
"1997","FL","nmp",0.843774845580279
"1997","FL","brd",4.17348778313954
"1997","FL","bnk",6.14990442955635
"1997","FL","ore",0.491187656581912
"1997","FL","edu",2.00044951775575
"1997","FL","ote",2.19323131951638
"1997","FL","man",3.24889228397328
"1997","FL","mch",1.27041581290286
"1997","FL","dat",1.01844861309709
"1997","FL","amd",3.00387847473303
"1997","FL","oil",0.0117186737032321
"1997","FL","hos",7.53335661579588
"1997","FL","rnt",1.39690422118977
"1997","FL","pla",0.568596101179231
"1997","FL","fof",0.823879780217824
"1997","FL","fin",0.0540346493494387
"1997","FL","tsv",8.50207653893297
"1997","FL","nrs",2.63218153554204
"1997","FL","sec",3.05155438389634
"1997","FL","art",1.88264382455161
"1997","FL","mov",0.341178610743214
"1997","FL","fpd",0.583863443856106
"1997","FL","slg",25.4526526146812
"1997","FL","pri",0.914463119977166
