"r","rr","value"
"AK","AK",23629186873.5537
"AK","AL",810945.227232191
"AK","AZ",7839137.19657785
"AK","CA",6690298.12466558
"AK","CO",337893.84468008
"AK","DC",202736.306808048
"AK","FL",946102.765104223
"AK","GA",1757047.99233641
"AK","HI",7568822.12083379
"AK","ID",1486732.91659235
"AK","IL",1486732.91659235
"AK","IN",743366.458296175
"AK","KS",2094941.83701649
"AK","KY",1554311.68552837
"AK","LA",6893034.43147363
"AK","MA",743366.458296175
"AK","MN",473051.382552112
"AK","MO",1013681.53404024
"AK","MS",1216417.84084829
"AK","MT",4189883.67403299
"AK","ND",3176202.13999275
"AK","NH",878523.996168207
"AK","NM",2432835.68169657
"AK","NV",1081260.30297626
"AK","NY",2838308.29531267
"AK","OH",2027363.06808048
"AK","OR",5406301.51488128
"AK","PA",3378938.4468008
"AK","SC",135157.537872032
"AK","SD",405472.613616096
"AK","TN",608208.920424143
"AK","TX",6960613.20040964
"AK","VA",3041044.60212072
"AK","WA",22976781.4382454
"AK","WY",3649253.52254486
"AL","AK",6437956.30418253
"AL","AL",117165127629.199
"AL","AR",20250298.9204287
"AL","AZ",15919310.1339786
"AL","CA",38042469.0701695
"AL","CO",16387525.1379192
"AL","CT",3687193.15603181
"AL","DC",3804246.90701695
"AL","FL",528322105.071415
"AL","GA",2720270646.01909
"AL","HI",1580225.63829935
"AL","IA",7959655.06698931
"AL","ID",2575182.52167301
"AL","IL",24639814.5823713
"AL","IN",35584340.2994816
"AL","KS",14046450.1182164
"AL","KY",39447114.0819911
"AL","LA",136074985.520222
"AL","MA",12232116.9779468
"AL","MD",6086795.05122712
"AL","ME",3394558.77856897
"AL","MI",25342137.0882821
"AL","MN",7608493.8140339
"AL","MO",13870869.4917387
"AL","MS",834534717.648534
"AL","MT",702322.505910821
"AL","NC",44890113.5028
"AL","ND",12056536.3514691
"AL","NE",4389515.66194263
"AL","NH",2048440.6422399
"AL","NJ",8603450.69740756
"AL","NM",2984870.65012099
"AL","NV",2633709.39716558
"AL","NY",19606503.2900104
"AL","OH",30902190.2600761
"AL","OK",10593364.4641549
"AL","OR",3160451.2765987
"AL","PA",27975846.4854477
"AL","SC",51913338.5619082
"AL","SD",1697279.38928449
"AL","TN",505145462.376358
"AL","TX",132095157.986727
"AL","UT",7140278.81009335
"AL","VA",18611546.4066368
"AL","WA",4799203.79039061
"AL","WI",5442999.42080887
"AL","WV",1229064.38534394
"AL","WY",994956.883373664
"AR","AK",1040770.10688108
"AR","AL",6192582.13594245
"AR","AR",64970906538.1372
"AR","AZ",4527349.96493272
"AR","CA",21439864.2017503
"AR","CO",21075594.664342
"AR","CT",1873386.19238595
"AR","DC",468346.548096488
"AR","FL",8118006.83367246
"AR","GA",32003680.7865934
"AR","HI",468346.548096488
"AR","IA",8534314.8764249
"AR","IL",24354020.5010174
"AR","IN",16392129.1833771
"AR","KS",30026217.5835193
"AR","KY",12333125.7665409
"AR","LA",125204643.857794
"AR","MA",624462.064128651
"AR","MD",5099773.52371732
"AR","ME",624462.064128651
