cex,share,elast,se
alcbev,1.245788671,1.099913559,0.033359804
food,21.62603438,0.850823947,0.008046214
tobacc,0.812807865,0.337881416,0.037190598
appar,2.650228702,1.12574645,0.020551713
persca,0.919777341,1.07157672,0.021163473
read,0.250652875,0.740388085,0.041344509
educa,3.244967386,1.497891259,0.067766571
medical,10.93728319,1.158787532,0.023980138
entert,6.643174589,1.390912852,0.017472489
elec,3.893975914,0.306944434,0.011772263
natural_gas,1.113221981,0.324859952,0.019580278
fuel_oil,0.280418713,0.314560041,0.106952168
telephone,3.703038767,0.653735857,0.012566317
water,1.511233207,0.260945837,0.014974356
shelter,19.00673658,0.452609258,0.011113062
oper_furnish,7.418482751,1.583418384,0.022589056
vacation_home_q,0.768869976,0.604118606,0.137856071
tran_fuel,6.007216126,0.662491596,0.013987347
veh_mainten,2.067393064,0.781965933,0.038324248
veh_finance,0.580619974,0.272876476,0.041945402
veh_serv2,5.280862749,1.097016825,0.017804548
