,,total,pct_pce,pct_windc
alcbev,fbp,131597,100,13.13909789
food,agr,95108,6.156953503,69.04742891
food,fof,5564,0.360193562,67.35262075
food,min,44,0.002848403,17.81376518
food,fbp,733355,47.47479325,73.22068996
food,che,751,0.048617068,0.124942187
food,art,509,0.032950849,0.877102288
food,res,707222,45.78303582,100
food,use,-1974,-0.127789736,-1.173602854
food,air,372,0.024081956,0.310113708
food,trn,182,0.011782032,12.78988053
food,mov,3592,0.232533299,10.59524512
tobacc,fbp,93836,100,9.36890955
appar,wpd,511,0.107702976,4.93958434
appar,cep,12515,2.637774448,7.585997878
appar,mmf,54130,11.40892775,22.38349254
appar,tex,5251,1.106748192,7.179872838
appar,alt,383789,80.89083639,99.24465362
appar,ppd,8196,1.727462994,18.01873104
appar,use,10061,2.120547241,5.98156956
persca,fmt,4678,1.683945284,11.34280588
persca,mch,674,0.24262059,3.486086687
persca,eec,11389,4.099712023,13.12958971
persca,mmf,9928,3.573794096,4.105363272
persca,tex,696,0.250539957,0.95166473
persca,alt,196,0.070554356,0.050683975
persca,ppd,8394,3.021598272,18.45402981
persca,che,92158,33.17422606,15.33211996
persca,pla,1428,0.514038877,2.134401531
persca,rnt,759,0.273218143,0.765599467
persca,edu,176,0.063354932,0.064330542
persca,amd,1238,0.445644348,0.812874674
persca,osv,146086,52.58675306,33.29405732
read,mmf,4812,4.963946399,1.989827565
read,ppd,958,0.988250343,2.106142549
read,pri,6900,7.117878253,54.04558628
read,che,2486,2.564499324,0.41359025
read,pla,419,0.432230578,0.626270477
read,pub,57260,59.06807374,47.72342749
read,use,434,0.447704226,0.258026159
read,dat,23519,24.26164908,48.39698741
read,mov,151,0.15576806,0.445401451
educa,edu,257464,57.01151461,94.10681063
educa,osv,26527,5.874003543,6.045695402
educa,soc,122649,27.15876882,100
educa,nrs,44960,9.95571302,20.0009787
medical,cep,6950,0.232730322,4.212759509
medical,eec,657,0.02200055,0.75740982
medical,mmf,50316,1.684900557,20.80635157
medical,pet,916,0.030673522,0.333542101
medical,che,461261,15.44595985,76.738959
medical,pla,1006,0.033687296,1.503647017
medical,ins,282350,9.454878614,77.51331467
medical,rnt,3927,0.131501003,3.961145071
medical,use,4,0.000133946,0.002378121
medical,hos,1006947,33.7190071,100
medical,amb,992126,33.22270551,100
medical,nrs,179829,6.021821733,79.9990213
entert,agr,42635,4.444618191,30.95257109
entert,fof,2697,0.281157154,32.64737925
entert,min,14,0.001459474,5.668016194
entert,pmt,32,0.00333594,3.033175355
entert,fmt,20168,2.102475893,48.90160516
entert,mch,3930,0.409695074,20.32688528
entert,cep,114393,11.9252541,69.33959691
entert,eec,3365,0.350794892,3.879275561
entert,mmf,98273,10.24477456,40.6372245
entert,fbp,42780,4.459734167,4.271302598
entert,tex,3785,0.394579098,5.175360634
entert,alt,1754,0.182851186,0.453569859
