"hh","state","source","value","year","sname"
"hh1","0","hwsval",153071976645.7,2014,"united states"
"hh2","0","hwsval",650087889042.27,2014,"united states"
"hh3","0","hwsval",936326821480.43,2014,"united states"
"hh4","0","hwsval",2568892287629.65,2014,"united states"
"hh5","0","hwsval",2767689985303.37,2014,"united states"
"hh1","1","hwsval",3330311774.95,2014,"alabama"
"hh2","1","hwsval",11546844981.96,2014,"alabama"
"hh3","1","hwsval",13648442545.48,2014,"alabama"
"hh4","1","hwsval",36696549799.83,2014,"alabama"
"hh5","1","hwsval",25081134900.37,2014,"alabama"
"hh1","2","hwsval",257861151.76,2014,"alaska"
"hh2","2","hwsval",1175145523.83,2014,"alaska"
"hh3","2","hwsval",1821136568.75,2014,"alaska"
"hh4","2","hwsval",6924309963.62,2014,"alaska"
"hh5","2","hwsval",6107541521.64,2014,"alaska"
"hh1","4","hwsval",4032321241.91,2014,"arizona"
"hh2","4","hwsval",13540781748.65,2014,"arizona"
"hh3","4","hwsval",21315548083.9,2014,"arizona"
"hh4","4","hwsval",48563630961.77,2014,"arizona"
"hh5","4","hwsval",34417883959.07,2014,"arizona"
"hh1","5","hwsval",1776545091.41,2014,"arkansas"
"hh2","5","hwsval",6820890847.6,2014,"arkansas"
"hh3","5","hwsval",9520475717.21,2014,"arkansas"
"hh4","5","hwsval",19912421616.61,2014,"arkansas"
"hh5","5","hwsval",11419709865.94,2014,"arkansas"
"hh1","6","hwsval",16558974630.13,2014,"california"
"hh2","6","hwsval",65738252649.68,2014,"california"
"hh3","6","hwsval",98004084507.24,2014,"california"
"hh4","6","hwsval",301140228599.29,2014,"california"
"hh5","6","hwsval",411021586401.61,2014,"california"
"hh1","8","hwsval",2223027792.29,2014,"colorado"
"hh2","8","hwsval",10825103429.19,2014,"colorado"
"hh3","8","hwsval",19122445757.85,2014,"colorado"
"hh4","8","hwsval",49867702154.91,2014,"colorado"
"hh5","8","hwsval",50757307450.27,2014,"colorado"
"hh1","9","hwsval",1044577579.01,2014,"connecticut"
"hh2","9","hwsval",5766523306.93,2014,"connecticut"
"hh3","9","hwsval",10048156829.55,2014,"connecticut"
"hh4","9","hwsval",36448391267.47,2014,"connecticut"
"hh5","9","hwsval",48997869112.38,2014,"connecticut"
"hh1","10","hwsval",402267331.24,2014,"delaware"
"hh2","10","hwsval",1913564864.92,2014,"delaware"
"hh3","10","hwsval",2867257254.5,2014,"delaware"
"hh4","10","hwsval",8327802045.3,2014,"delaware"
"hh5","10","hwsval",7555254204.18,2014,"delaware"
"hh1","11","hwsval",351554641.72,2014,"district of columbia"
"hh2","11","hwsval",1391978258.25,2014,"district of columbia"
"hh3","11","hwsval",1569171355.87,2014,"district of columbia"
"hh4","11","hwsval",7341760546.01,2014,"district of columbia"
"hh5","11","hwsval",14253780259.94,2014,"district of columbia"
"hh1","12","hwsval",10252198573.64,2014,"florida"
"hh2","12","hwsval",47794960932.65,2014,"florida"
"hh3","12","hwsval",60048525450.73,2014,"florida"
"hh4","12","hwsval",135506047963.64,2014,"florida"
"hh5","12","hwsval",141166560638.62,2014,"florida"
"hh1","13","hwsval",6363585145.91,2014,"georgia"
"hh2","13","hwsval",24660229976.43,2014,"georgia"
"hh3","13","hwsval",32194989161.2,2014,"georgia"
"hh4","13","hwsval",77882249998.15,2014,"georgia"
"hh5","13","hwsval",70455739095.67,2014,"georgia"
"hh1","15","hwsval",460218209.12,2014,"hawaii"
"hh2","15","hwsval",1786752159.42,2014,"hawaii"
"hh3","15","hwsval",3395757576.9,2014,"hawaii"
"hh4","15","hwsval",12148682722.72,2014,"hawaii"
"hh5","15","hwsval",9738998949.39,2014,"hawaii"
"hh1","16","hwsval",593161452.32,2014,"idaho"
"hh2","16","hwsval",3995591846.16,2014,"idaho"
"hh3","16","hwsval",5098863893.59,2014,"idaho"
"hh4","16","hwsval",13430595056.9,2014,"idaho"
"hh5","16","hwsval",9312459962.59,2014,"idaho"
"hh1","17","hwsval",6424948024.75,2014,"illinois"
"hh2","17","hwsval",26010291349.82,2014,"illinois"
"hh3","17","hwsval",41358278958.83,2014,"illinois"
"hh4","17","hwsval",107222480866.59,2014,"illinois"
"hh5","17","hwsval",124905332635.62,2014,"illinois"
