"r","hh1","hh2","hh3","hh4","hh5"
"me",0.13842806,0.14056429,0.10131862,0.13857975,0.06454381
"nh",0.07372948,0.11419349,0.08763614,0.15903101,0.1116358
"vt",0.0559495,0.05070346,0.04346873,0.07705755,0.03612898
"ma",0.49782021,0.560312,0.36705501,0.77329425,0.60660598
"ri",0.09263884,0.08103476,0.06820597,0.12050226,0.07214373
"ct",0.25467331,0.25704333,0.24767973,0.43831172,0.27220966
"ny",1.71721322,1.60548126,1.19654245,2.04884882,1.35321344
"nj",0.61224455,0.57366377,0.5260422,0.90780583,0.72723838
"pa",1.05012199,1.04798035,0.81558863,1.43166733,0.80743566
"oh",1.04369187,1.00174396,0.76130734,1.30328909,0.591358
"in",0.5377875,0.60728535,0.49913564,0.77106784,0.28815234
"il",0.95737156,0.98134223,0.9118842,1.38186544,0.80601892
"mi",0.88879582,0.96180212,0.65064436,1.07715214,0.5373132
"wi",0.42483256,0.54876143,0.44796867,0.67130497,0.31977008
"mn",0.42395728,0.42468065,0.35492448,0.73379752,0.38973042
"ia",0.23399855,0.26494061,0.23653043,0.40479133,0.1381106
"mo",0.52969367,0.57153777,0.41656058,0.66055954,0.3003501
"nd",0.06548439,0.06980281,0.05871043,0.09520895,0.03241601
"sd",0.05753502,0.09785553,0.06661253,0.09330011,0.03526741
"ne",0.14240207,0.17491934,0.12884612,0.20618085,0.1024505
"ks",0.27341508,0.24137307,0.19851962,0.3192092,0.14366205
"de",0.06999315,0.08227724,0.06982559,0.10017315,0.06127302
"md",0.35257774,0.43062884,0.33162475,0.67148709,0.57228646
"dc",0.06320522,0.04362447,0.04014432,0.0866331,0.08829777
"va",0.60538336,0.67369693,0.43682944,1.00169308,0.60524038
"wv",0.21202272,0.1919378,0.11083512,0.17012259,0.0621659
"nc",1.10311369,1.07249197,0.68099436,1.00327305,0.50728597
"sc",0.4860745,0.4538076,0.37148218,0.4998602,0.23724882
"ga",0.83408564,0.93034616,0.64816809,1.03399224,0.507588
"fl",2.01526155,2.06440757,1.46484352,2.1486247,0.94142437
"ky",0.43893486,0.44568761,0.31966001,0.4302122,0.18442162
"tn",0.55726055,0.71182041,0.42051197,0.69011852,0.30824608
"al",0.52924985,0.43470335,0.35512555,0.44711246,0.20120891
"ms",0.37039485,0.30192885,0.21847596,0.24829877,0.06481277
"ar",0.30547228,0.29306989,0.19842601,0.25596657,0.11030264
"la",0.60845188,0.41486097,0.28421123,0.39598906,0.16494934
"ok",0.31613121,0.39721747,0.25192623,0.41203409,0.15160938
"tx",2.06898322,2.41567657,1.65678412,2.69186769,1.4207303
"mt",0.08481239,0.10811674,0.07287652,0.12383365,0.04939292
"id",0.12263768,0.15962044,0.12779857,0.18766674,0.06704903
"wy",0.0464833,0.05899078,0.03655999,0.07099235,0.02067124
"co",0.31848562,0.42948796,0.4067781,0.70023824,0.40701847
"nm",0.23326595,0.19710078,0.12800842,0.19810922,0.07210967
"az",0.54008875,0.57435826,0.48134468,0.80968042,0.31234335
"ut",0.12355459,0.21599924,0.2149492,0.33167104,0.15752317
"nv",0.23961283,0.28494981,0.18968171,0.33036171,0.10647139
"wa",0.48239294,0.51461062,0.4456325,0.93171702,0.52996843
"or",0.36430505,0.33666902,0.30467882,0.51115414,0.24484431
"ca",2.6740835,2.71845556,2.15621147,3.84243316,2.69321239
"ak",0.04625111,0.0507522,0.04587771,0.08962754,0.04375027
"hi",0.08105247,0.09525122,0.07862461,0.14045801,0.10261592
