"year","r","hh","n"
2000,"US","hh1",15070
2000,"US","hh2",14049
2000,"US","hh3",9213
2000,"US","hh4",9093
2000,"US","hh5",2202
2000,"AL","hh1",263
2000,"AK","hh1",107
2000,"AZ","hh1",263
2000,"AR","hh1",277
2000,"CA","hh1",1205
2000,"CO","hh1",169
2000,"CT","hh1",126
2000,"DE","hh1",123
2000,"DC","hh1",186
2000,"FL","hh1",860
2000,"GA","hh1",217
2000,"HI","hh1",95
2000,"ID","hh1",251
2000,"IL","hh1",529
2000,"IN","hh1",195
2000,"IA","hh1",201
2000,"KS","hh1",203
2000,"KY","hh1",208
2000,"LA","hh1",258
2000,"ME","hh1",154
2000,"MD","hh1",139
2000,"MA","hh1",331
2000,"MI","hh1",430
2000,"MN","hh1",161
2000,"MS","hh1",226
2000,"MO","hh1",142
2000,"MT","hh1",259
2000,"NE","hh1",214
2000,"NV","hh1",174
2000,"NH","hh1",111
2000,"NJ","hh1",364
2000,"NM","hh1",309
2000,"NY","hh1",1063
2000,"NC","hh1",392
2000,"ND","hh1",237
2000,"OH","hh1",535
2000,"OK","hh1",269
2000,"OR","hh1",160
2000,"PA","hh1",563
2000,"RI","hh1",167
2000,"SC","hh1",168
2000,"SD","hh1",228
2000,"TN","hh1",233
2000,"TX","hh1",926
2000,"UT","hh1",143
2000,"VT","hh1",161
2000,"VA","hh1",189
2000,"WA","hh1",180
2000,"WV","hh1",293
2000,"WI","hh1",214
2000,"WY","hh1",199
2000,"AL","hh2",182
2000,"AK","hh2",166
2000,"AZ","hh2",245
2000,"AR","hh2",214
2000,"CA","hh2",1191
2000,"CO","hh2",197
2000,"CT","hh2",139
2000,"DE","hh2",141
2000,"DC","hh2",136
2000,"FL","hh2",855
2000,"GA","hh2",230
2000,"HI","hh2",120
2000,"ID","hh2",225
2000,"IL","hh2",551
2000,"IN","hh2",187
2000,"IA","hh2",213
2000,"KS","hh2",198
2000,"KY","hh2",193
2000,"LA","hh2",181
2000,"ME","hh2",157
2000,"MD","hh2",137
2000,"MA","hh2",269
2000,"MI","hh2",431
2000,"MN","hh2",179
2000,"MS","hh2",179
2000,"MO","hh2",174
2000,"MT","hh2",206
2000,"NE","hh2",214
2000,"NV","hh2",230
2000,"NH","hh2",125
2000,"NJ","hh2",363
2000,"NM","hh2",247
2000,"NY","hh2",789
2000,"NC","hh2",372
2000,"ND","hh2",189
2000,"OH","hh2",502
2000,"OK","hh2",241
2000,"OR","hh2",186
2000,"PA","hh2",556
2000,"RI","hh2",118
2000,"SC","hh2",150
2000,"SD","hh2",198
2000,"TN","hh2",193
2000,"TX","hh2",793
2000,"UT","hh2",205
2000,"VT","hh2",131
2000,"VA","hh2",196
2000,"WA","hh2",175
2000,"WV","hh2",194
2000,"WI","hh2",184
2000,"WY","hh2",202
2000,"AL","hh3",115
2000,"AK","hh3",125
2000,"AZ","hh3",173
2000,"AR","hh3",101
2000,"CA","hh3",791
2000,"CO","hh3",152
2000,"CT","hh3",99
2000,"DE","hh3",114
2000,"DC","hh3",78
2000,"FL","hh3",485
2000,"GA","hh3",150
2000,"HI","hh3",86
2000,"ID","hh3",150
2000,"IL","hh3",391
2000,"IN","hh3",124
2000,"IA","hh3",142
2000,"KS","hh3",110
2000,"KY","hh3",124
2000,"LA","hh3",79
2000,"ME","hh3",105
2000,"MD","hh3",117
2000,"MA","hh3",211
2000,"MI","hh3",305
2000,"MN","hh3",143
2000,"MS","hh3",87
2000,"MO","hh3",137
2000,"MT","hh3",96
2000,"NE","hh3",113
2000,"NV","hh3",148
2000,"NH","hh3",99
2000,"NJ","hh3",276
2000,"NM","hh3",148
2000,"NY","hh3",532
2000,"NC","hh3",223
2000,"ND","hh3",121
2000,"OH","hh3",397
