"year","r","hh","numhh"
2000,"AL","hh1",0.68438359
2000,"AL","hh2",0.47721286
2000,"AL","hh3",0.28759132
2000,"AL","hh4",0.26795306
2000,"AL","hh5",0.03984104
2000,"AK","hh1",0.04309386
2000,"AK","hh2",0.06744758
2000,"AK","hh3",0.05045103
2000,"AK","hh4",0.05257895
2000,"AK","hh5",0.01083004
2000,"AZ","hh1",0.56087554
2000,"AZ","hh2",0.52388702
2000,"AZ","hh3",0.37655524
2000,"AZ","hh4",0.29572173
2000,"AZ","hh5",0.091442
2000,"AR","hh1",0.43051927
2000,"AR","hh2",0.33578614
2000,"AR","hh3",0.15837925
2000,"AR","hh4",0.10720427
2000,"AR","hh5",0.01675964
2000,"CA","hh1",3.24967375
2000,"CA","hh2",3.21616699
2000,"CA","hh3",2.25949129
2000,"CA","hh4",2.73037959
2000,"CA","hh5",0.82905195
2000,"CO","hh1",0.38741176
2000,"CO","hh2",0.4605203
2000,"CO","hh3",0.34002824
2000,"CO","hh4",0.36656625
2000,"CO","hh5",0.10513583
2000,"CT","hh1",0.30275684
2000,"CT","hh2",0.34564455
2000,"CT","hh3",0.24943134
2000,"CT","hh4",0.32351469
2000,"CT","hh5",0.08257936
2000,"DE","hh1",0.0717742
2000,"DE","hh2",0.07601365
2000,"DE","hh3",0.06539383
2000,"DE","hh4",0.06980741
2000,"DE","hh5",0.01054882
2000,"DC","hh1",0.08002404
2000,"DC","hh2",0.06135721
2000,"DC","hh3",0.03524896
2000,"DC","hh4",0.04241148
2000,"DC","hh5",0.01964241
2000,"FL","hh1",1.97955909
2000,"FL","hh2",1.94725277
2000,"FL","hh3",1.11663329
2000,"FL","hh4",1.00863773
2000,"FL","hh5",0.21240583
2000,"GA","hh1",0.91680727
2000,"GA","hh2",0.95087069
2000,"GA","hh3",0.61652411
2000,"GA","hh4",0.49666219
2000,"GA","hh5",0.13932394
2000,"HI","hh1",0.09351845
2000,"HI","hh2",0.11731602
2000,"HI","hh3",0.0832597
2000,"HI","hh4",0.09317759
2000,"HI","hh5",0.02245099
2000,"ID","hh1",0.16169363
2000,"ID","hh2",0.14908249
2000,"ID","hh3",0.09976873
2000,"ID","hh4",0.07519624
2000,"ID","hh5",0.00982449
2000,"IL","hh1",1.20784537
2000,"IL","hh2",1.20119609
2000,"IL","hh3",0.86851327
2000,"IL","hh4",1.03810352
2000,"IL","hh5",0.20690404
2000,"IN","hh1",0.75139542
2000,"IN","hh2",0.67954601
2000,"IN","hh3",0.43959941
2000,"IN","hh4",0.42467287
2000,"IN","hh5",0.06459364
2000,"IA","hh1",0.3309904
2000,"IA","hh2",0.3475805
2000,"IA","hh3",0.23832127
2000,"IA","hh4",0.16422843
2000,"IA","hh5",0.05106582
2000,"KS","hh1",0.35241793
2000,"KS","hh2",0.32573023
2000,"KS","hh3",0.18174548
2000,"KS","hh4",0.19702372
2000,"KS","hh5",0.02536188
2000,"KY","hh1",0.53342984
2000,"KY","hh2",0.46958279
2000,"KY","hh3",0.30345813
2000,"KY","hh4",0.23270361
2000,"KY","hh5",0.05861691
2000,"LA","hh1",0.71793993
2000,"LA","hh2",0.50843925
2000,"LA","hh3",0.21366169
2000,"LA","hh4",0.22808824
2000,"LA","hh5",0.02796379
2000,"ME","hh1",0.14906378
2000,"ME","hh2",0.15318916
2000,"ME","hh3",0.10217128
2000,"ME","hh4",0.08346514
2000,"ME","hh5",0.02121016
2000,"MD","hh1",0.50582672
2000,"MD","hh2",0.50091187
2000,"MD","hh3",0.42656605
2000,"MD","hh4",0.47507525
2000,"MD","hh5",0.15702722
2000,"MA","hh1",0.70389388
2000,"MA","hh2",0.57527354
2000,"MA","hh3",0.46354364
2000,"MA","hh4",0.51763128
2000,"MA","hh5",0.1726763
2000,"MI","hh1",1.01528948
2000,"MI","hh2",1.02386099
2000,"MI","hh3",0.73044032
2000,"MI","hh4",0.84284433
2000,"MI","hh5",0.17702005
2000,"MN","hh1",0.42677415
2000,"MN","hh2",0.48657025
2000,"MN","hh3",0.39998144
2000,"MN","hh4",0.4383833
2000,"MN","hh5",0.11535946
2000,"MS","hh1",0.43571934
2000,"MS","hh2",0.34498505
2000,"MS","hh3",0.17405704
2000,"MS","hh4",0.12654114
2000,"MS","hh5",0.02014617
2000,"MO","hh1",0.52622901
2000,"MO","hh2",0.61219231
2000,"MO","hh3",0.52403912
2000,"MO","hh4",0.42663457
2000,"MO","hh5",0.06292844
2000,"MT","hh1",0.14218858
2000,"MT","hh2",0.11454817
2000,"MT","hh3",0.05388757
2000,"MT","hh4",0.04337149
2000,"MT","hh5",0.00928669
2000,"NE","hh1",0.20389141
2000,"NE","hh2",0.20353087
2000,"NE","hh3",0.10903679
2000,"NE","hh4",0.11560877
2000,"NE","hh5",0.02334094
2000,"NV","hh1",0.18069947
2000,"NV","hh2",0.227617
2000,"NV","hh3",0.14762856
2000,"NV","hh4",0.11932573
2000,"NV","hh5",0.03964265
2000,"NH","hh1",0.11764293
2000,"NH","hh2",0.13228386
2000,"NH","hh3",0.10025757
2000,"NH","hh4",0.11529566
2000,"NH","hh5",0.02689021
2000,"NJ","hh1",0.75743301
2000,"NJ","hh2",0.74895259
2000,"NJ","hh3",0.57441734
2000,"NJ","hh4",0.74635559
2000,"NJ","hh5",0.24042167
2000,"NM","hh1",0.24655134
2000,"NM","hh2",0.19441647
2000,"NM","hh3",0.11979006
2000,"NM","hh4",0.09627147
2000,"NM","hh5",0.01344979
2000,"NY","hh1",2.30830565
2000,"NY","hh2",1.7088421
2000,"NY","hh3",1.19398749
2000,"NY","hh4",1.3840629
2000,"NY","hh5",0.47432733
2000,"NC","hh1",0.96418542
2000,"NC","hh2",0.90291226
2000,"NC","hh3",0.54000391
2000,"NC","hh4",0.51558144
2000,"NC","hh5",0.07286349
2000,"ND","hh1",0.09615521
2000,"ND","hh2",0.07759192
2000,"ND","hh3",0.04914107
2000,"ND","hh4",0.02700756
2000,"ND","hh5",0.00405193
2000,"OH","hh1",1.27234585
2000,"OH","hh2",1.21218415
2000,"OH","hh3",0.93823955
2000,"OH","hh4",0.82110175
2000,"OH","hh5",0.16866461
2000,"OK","hh1",0.50378149
2000,"OK","hh2",0.45217238
2000,"OK","hh3",0.18271284
2000,"OK","hh4",0.17255211
2000,"OK","hh5",0.03869047
2000,"OR","hh1",0.35287379
2000,"OR","hh2",0.43642258
2000,"OR","hh3",0.24651702
2000,"OR","hh4",0.26367753
2000,"OR","hh5",0.06315928
2000,"PA","hh1",1.33593464
2000,"PA","hh2",1.29642133
2000,"PA","hh3",0.93423928
2000,"PA","hh4",0.92364142
2000,"PA","hh5",0.19443883
2000,"RI","hh1",0.12912762
2000,"RI","hh2",0.0952028
2000,"RI","hh3",0.07164089
2000,"RI","hh4",0.08514048
2000,"RI","hh5",0.01820712
2000,"SC","hh1",0.53723464
2000,"SC","hh2",0.48537081
2000,"SC","hh3",0.2349091
2000,"SC","hh4",0.29677986
2000,"SC","hh5",0.03572369
2000,"SD","hh1",0.09946037
2000,"SD","hh2",0.08910831
2000,"SD","hh3",0.06088297
2000,"SD","hh4",0.03771304
2000,"SD","hh5",0.00592589
2000,"TN","hh1",0.84234851
2000,"TN","hh2",0.68833639
2000,"TN","hh3",0.35744284
2000,"TN","hh4",0.28989573
2000,"TN","hh5",0.09604894
2000,"TX","hh1",2.44633772
2000,"TX","hh2",2.11294521
2000,"TX","hh3",1.34528033
2000,"TX","hh4",1.33181884
2000,"TX","hh5",0.37842109
2000,"UT","hh1",0.17099822
2000,"UT","hh2",0.23754244
2000,"UT","hh3",0.15284667
2000,"UT","hh4",0.12656554
2000,"UT","hh5",0.03014431
2000,"VT","hh1",0.08443918
2000,"VT","hh2",0.07296106
2000,"VT","hh3",0.04669654
2000,"VT","hh4",0.03793821
2000,"VT","hh5",0.01259366
2000,"VA","hh1",0.69642891
2000,"VA","hh2",0.69528902
2000,"VA","hh3",0.556861
2000,"VA","hh4",0.63062899
2000,"VA","hh5",0.19516691
2000,"WA","hh1",0.63533903
2000,"WA","hh2",0.64095253
2000,"WA","hh3",0.3692075
2000,"WA","hh4",0.4693279
2000,"WA","hh5",0.13410029
2000,"WV","hh1",0.32019594
2000,"WV","hh2",0.213954
2000,"WV","hh3",0.13394787
2000,"WV","hh4",0.08173611
2000,"WV","hh5",0.00514993
2000,"WI","hh1",0.59748519
2000,"WI","hh2",0.50931295
2000,"WI","hh3",0.41793834
2000,"WI","hh4",0.42615143
2000,"WI","hh5",0.07880275
2000,"WY","hh1",0.05930239
2000,"WY","hh2",0.06165651
2000,"WY","hh3",0.03852134
2000,"WY","hh4",0.02739349
2000,"WY","hh5",0.00498223
2001,"AL","hh1",0.64495461
2001,"AL","hh2",0.46608539
2001,"AL","hh3",0.28923948
2001,"AL","hh4",0.30399723
2001,"AL","hh5",0.04774177
