"yr","r","s","Val"
"1997","IA","ppd",0.206132947592393
"1997","IA","res",0.254370959671802
"1997","IA","com",0.0305312686920007
"1997","IA","amb",0.535826889247751
"1997","IA","fbp",1.89162653219788
"1997","IA","rec",0.0371292867390363
"1997","IA","con",0.852810400548391
"1997","IA","agr",4.86039667523398
"1997","IA","eec",0.424016906045791
"1997","IA","fnd",0.244488866435354
"1997","IA","pub",0.325902539631129
"1997","IA","hou",4.85790328362829
"1997","IA","fbt",0.212971323287869
"1997","IA","ins",1.62433977348478
"1997","IA","tex",0.00519693990528087
"1997","IA","leg",0.226439895561059
"1997","IA","fen",0.0933701660590263
"1997","IA","uti",1.12405130699206
"1997","IA","nmp",0.390402142948
"1997","IA","brd",0.901071264255874
"1997","IA","bnk",0.891916749826042
"1997","IA","ore",1.06468257709799
"1997","IA","edu",0.145387060930975
"1997","IA","ote",0.0103471137892989
"1997","IA","man",0.0455682161687967
"1997","IA","mch",1.70714754696818
"1997","IA","dat",0.094413777261721
"1997","IA","amd",0.145345382154836
"1997","IA","oil",0.000546749160583947
"1997","IA","hos",0.136482779877231
"1997","IA","rnt",0.374253504050591
"1997","IA","pla",0.414186075095182
"1997","IA","fof",0.145011968464272
"1997","IA","fin",0.00329088563145663
"1997","IA","tsv",0.582490500042214
"1997","IA","nrs",0.0426687624216912
"1997","IA","sec",0.0621568575775379
"1997","IA","art",0.107776390336213
"1997","IA","mov",0.0119892135068467
"1997","IA","fpd",0.220195953683038
"1997","IA","slg",0.880933798501438
"1997","IA","pri",0.0623329858438884
"1997","IA","grd",0.0159448922354724
"1997","IA","pip",0.000309438632613335
"1997","IA","sle",0.103517817198134
"1997","IA","osv",0.574741550643629
"1997","IA","trn",0.174923496172786
"1997","IA","smn",0.000719519291536591
"1997","IA","fmt",0.47525841084297
"1997","IA","pet",0.0711844063528503
"1997","IA","mvt",0.271618807371653
"1997","IA","cep",0.158183105671835
"1997","IA","wst",0.0345355216333837
"1997","IA","mot",0.181724880041844
"1997","IA","adm",0.309059031626985
"1997","IA","soc",0.0549858476177412
"1997","IA","alt",0.00901295862026959
"1997","IA","pmt",0.241752790911325
"1997","IA","trk",0.258507742999614
"1997","IA","fdd",0.423760291935577
"1997","IA","gmt",0.145168490892172
"1997","IA","wtt",0.00811689402454613
"1997","IA","wpd",0.139071124645224
"1997","IA","wht",1.29273538175813
"1997","IA","wrh",0.0383762413943495
"1997","IA","ott",0.661597669469622
"1997","IA","che",1.74091019218088
"1997","IA","air",0.0161942528468064
"1997","IA","mmf",0.113507368983613
"1997","IA","otr",0.100284653310939
"1997","IA","min",0.0603758526620082
"1997","FL","ppd",0.483367001420156
"1997","FL","res",1.8379298535533
"1997","FL","com",0.291701364487871
"1997","FL","amb",2.6260984432096
"1997","FL","fbp",1.53333862542881
"1997","FL","rec",0.587586919182461
"1997","FL","con",7.20541129627125
"1997","FL","agr",3.10980019018675
"1997","FL","eec",0.187821619336266
"1997","FL","fnd",2.636444519655
"1997","FL","pub",1.15605027304988
"1997","FL","hou",37.8622315417344
"1997","FL","fbt",1.06705789236033
"1997","FL","ins",2.96888443050877
"1997","FL","tex",0.0384495273345002
"1997","FL","leg",1.06130178137723
"1997","FL","fen",0.525284706932847
"1997","FL","uti",5.39356933220305
"1997","FL","nmp",0.525332402990921
"1997","FL","brd",7.66374504678488
"1997","FL","bnk",2.89635264859408
"1997","FL","ore",6.42143213649986
"1997","FL","edu",0.486370641448658
"1997","FL","ote",1.60887756033368
"1997","FL","man",0.434183453593883
"1997","FL","mch",0.11120083526089
"1997","FL","dat",0.426768697658046
"1997","FL","amd",1.46754901387311
"1997","FL","oil",0.0596321149680323
"1997","FL","hos",0.914316657298476
"1997","FL","rnt",6.41967100855519
"1997","FL","pla",0.327916680317602
"1997","FL","fof",0.468843420953463
"1997","FL","fin",0.126096907002161
"1997","FL","tsv",4.16079117180504
"1997","FL","nrs",0.0921728515105436
"1997","FL","sec",0.619905072419137
"1997","FL","art",0.918619587716208
"1997","FL","mov",0.539159155624391
"1997","FL","fpd",0.165224540143919
"1997","FL","slg",3.12591494497564
"1997","FL","pri",0.117363177452975
"1997","FL","grd",0.273956509614957
"1997","FL","pip",0.000734836220708529
"1997","FL","sle",1.43809535855756
"1997","FL","osv",3.25387911536313
"1997","FL","trn",0.0649140648923497
"1997","FL","smn",0.00227372207408526
"1997","FL","fmt",0.645705606313805
"1997","FL","pet",0.206812555984751
"1997","FL","mvt",1.67198251507417
"1997","FL","cep",1.15591506961688
"1997","FL","wst",0.358354289082489
"1997","FL","mot",0.0336830376713242
"1997","FL","adm",2.90138246387936
"1997","FL","soc",0.394217809156027
"1997","FL","alt",0.203978706090165
"1997","FL","pmt",0.104449709210698
"1997","FL","trk",1.03927948079102
"1997","FL","fdd",2.72285174309871
"1997","FL","gmt",0.485921669292694
"1997","FL","wtt",0.417014907752796
"1997","FL","wpd",0.162912291673168
"1997","FL","wht",7.07871207033945
"1997","FL","wrh",0.0960392072646167
"1997","FL","ott",3.66279196552946
"1997","FL","che",1.38869831153604
"1997","FL","air",1.88618212385901
"1997","FL","mmf",1.15117925951201
"1997","FL","otr",1.67674180704901
"1997","FL","min",0.152996845420291
"1997","MD","ppd",0.0520545649900172
"1997","MD","res",2.34661278105968
"1997","MD","com",0.321981547786258
"1997","MD","amb",0.85683340308115
"1997","MD","fbp",1.08873738516252
"1997","MD","rec",0.205595629637815
"1997","MD","con",2.02130693641457
"1997","MD","agr",0.419074562864242
"1997","MD","eec",0.0435278452847322
"1997","MD","fnd",1.80101721746715
"1997","MD","pub",0.404490363023948
"1997","MD","hou",14.7867265512266
"1997","MD","fbt",0.348770258520383
"1997","MD","ins",1.61965179913888
"1997","MD","tex",0.0264386197857942
"1997","MD","leg",0.419790274920529
"1997","MD","fen",0.48578839663044
"1997","MD","uti",1.70269491642279
"1997","MD","nmp",0.146141837287123
"1997","MD","brd",2.41198531364974
"1997","MD","bnk",0.295037792063515
"1997","MD","ore",2.96201512676764
"1997","MD","edu",0.338557237781358
"1997","MD","ote",0.0777478545447525
"1997","MD","man",0.0556588892915775
"1997","MD","mch",0.296922125262555
"1997","MD","dat",0.116023026059108
"1997","MD","amd",0.606591508539797
"1997","MD","oil",0.000789748728967599
"1997","MD","hos",0.354868150603708
"1997","MD","rnt",1.21863898258726
"1997","MD","pla",0.313297543511606
"1997","MD","fof",0.0329729100348055
"1997","MD","fin",0.0575919296774011
"1997","MD","tsv",2.44991623468375
"1997","MD","nrs",0.0896561115221597
"1997","MD","sec",0.344376171016112
"1997","MD","art",0.184021257492098
"1997","MD","mov",0.0561485819947234
"1997","MD","fpd",0.04889589295358
"1997","MD","slg",0.764147007394225
"1997","MD","pri",0.044678794778011
"1997","MD","grd",0.221174265126774
"1997","MD","pip",0.0123121480350186
"1997","MD","sle",2.00149292158229
"1997","MD","osv",0.904205308206823
"1997","MD","trn",0.0295204771740484
"1997","MD","smn",0.000575614469496745
"1997","MD","fmt",0.331950051839817
"1997","MD","pet",0.142824666161124
"1997","MD","mvt",0.462596116174782
"1997","MD","cep",0.45984170686499
"1997","MD","wst",0.134217080633795
"1997","MD","mot",0.314137189000527
"1997","MD","adm",0.588717607147863
"1997","MD","soc",0.110063910982666
"1997","MD","alt",0.0815513277181451
"1997","MD","pmt",0.499151801136938
"1997","MD","trk",0.239273553578038
"1997","MD","fdd",10.2037900912267
"1997","MD","gmt",0.223933223277067
"1997","MD","wtt",0.0283795459481056
"1997","MD","wpd",0.0345239447284671
"1997","MD","wht",2.20467218222166
"1997","MD","wrh",0.0705171577147353
"1997","MD","ott",1.10334934706211
"1997","MD","che",1.01212138593077
"1997","MD","air",0.214978267289095
"1997","MD","mmf",0.0598267054675433
"1997","MD","otr",0.170284574725124
"1997","MD","min",0.058098735917213
"1997","OH","ppd",0.966379153374866
"1997","OH","res",0.784720145614959
"1997","OH","com",0.275318918860953
"1997","OH","amb",1.85105535447937
"1997","OH","fbp",3.3283524651086
"1997","OH","rec",0.399151066928169
"1997","OH","con",3.89971418049022
"1997","OH","agr",2.26349101081769
"1997","OH","eec",2.04367044853926
"1997","OH","fnd",1.69189780586123
"1997","OH","pub",1.05435980848145
"1997","OH","hou",22.3999507733486
"1997","OH","fbt",0.843264856145904
"1997","OH","ins",4.27758724707785
"1997","OH","tex",0.0366053979701046
"1997","OH","leg",0.943779796402402
"1997","OH","fen",0.40020724006724
"1997","OH","uti",4.6726233765725
"1997","OH","nmp",1.54512234904597
"1997","OH","brd",4.04441512345647
"1997","OH","bnk",4.3063062233524
"1997","OH","ore",4.35134391684876
"1997","OH","edu",0.396744416667775
"1997","OH","ote",1.07867830343176
"1997","OH","man",0.707789956171008
"1997","OH","mch",1.09887830712058
"1997","OH","dat",0.29335100551205
"1997","OH","amd",0.522529447568578
"1997","OH","oil",0.122678933141634
"1997","OH","hos",0.782117680463108
"1997","OH","rnt",2.8300563781085
"1997","OH","pla",1.81741035938383
"1997","OH","fof",0.178325825627371
"1997","OH","fin",0.363719952276314
"1997","OH","tsv",3.09497417622968
"1997","OH","nrs",0.092633012383498
"1997","OH","sec",0.0628640749357225
"1997","OH","art",0.933656952486874
"1997","OH","mov",0.187820848412987
"1997","OH","fpd",0.480654527287531
"1997","OH","slg",1.01631123206323
"1997","OH","pri",0.34119600555326
"1997","OH","grd",0.0867822744007407
"1997","OH","pip",0.0417984722961344
"1997","OH","sle",1.23243697900125
"1997","OH","osv",2.19249738120295
"1997","OH","trn",0.199180655418038
"1997","OH","smn",0.0108207245400128
"1997","OH","fmt",3.45647726555836
"1997","OH","pet",0.703541142841178
"1997","OH","mvt",1.23460373013839
"1997","OH","cep",0.865018773938744
"1997","OH","wst",0.293526004371318
"1997","OH","mot",5.60627901639853
"1997","OH","adm",1.73223461824261
"1997","OH","soc",0.458253592277831
"1997","OH","alt",0.0975872521769013
"1997","OH","pmt",3.92523322919649
"1997","OH","trk",1.51914547354255
"1997","OH","fdd",2.43805717869364
"1997","OH","gmt",0.45130723324012
"1997","OH","wtt",0.0808433452107214
"1997","OH","wpd",0.272227558702669
"1997","OH","wht",5.27724740843723
"1997","OH","wrh",0.0956512334317378
"1997","OH","ott",2.79760091220585
"1997","OH","che",4.5525111701902
"1997","OH","air",0.246191457650482
"1997","OH","mmf",0.804989400460459
"1997","OH","otr",0.396668629903564
"1997","OH","min",0.208610980401856
"1997","TN","ppd",0.483410869410185
"1997","TN","res",0.769126757288479
"1997","TN","com",0.0764220226175524
"1997","TN","amb",1.6228199312943
"1997","TN","fbp",1.42466472952942
"1997","TN","rec",0.854708252035265
"1997","TN","con",2.12616762798886
"1997","TN","agr",0.834696431476907
"1997","TN","eec",0.842235433861863
"1997","TN","fnd",0.815590192932194
"1997","TN","pub",0.168914573753735
"1997","TN","hou",9.4042126904449
"1997","TN","fbt",0.442728284027345
"1997","TN","ins",0.915513776243908
"1997","TN","tex",0.183274683057893
"1997","TN","leg",0.518147871046747
"1997","TN","fen",0.269377727579934
"1997","TN","uti",0.762478068069854
"1997","TN","nmp",0.373468965985364
"1997","TN","brd",1.66895247852534
"1997","TN","bnk",1.82762732318393
"1997","TN","ore",1.98545161546926
"1997","TN","edu",0.222150436074557
"1997","TN","ote",0.102984251224843
"1997","TN","man",0.109108057775297
"1997","TN","mch",0.93680295734897
"1997","TN","dat",0.0726252797302766
"1997","TN","amd",0.341930233623078
"1997","TN","oil",0.00188324634087003
"1997","TN","hos",0.974322340989728
"1997","TN","rnt",1.24269824639008
"1997","TN","pla",0.748293089635369
"1997","TN","fof",1.40846907124232
"1997","TN","fin",0.0753651518839617
"1997","TN","tsv",1.4722229685836
"1997","TN","nrs",0.251211515366208
"1997","TN","sec",0.196053687379298
"1997","TN","art",0.45204213195281
"1997","TN","mov",0.413050748375281
"1997","TN","fpd",0.197351669840705
"1997","TN","slg",2.71618017770744
"1997","TN","pri",0.113483093412526
"1997","TN","grd",0.076461323817042
"1997","TN","pip",0.0047408366538286
"1997","TN","sle",0.330430785030204
"1997","TN","osv",1.07677657505284
"1997","TN","trn",0.133480766114704
"1997","TN","smn",0.000342785117519297
"1997","TN","fmt",1.26194007679058
"1997","TN","pet",0.106441330292235
"1997","TN","mvt",0.591004188587013
"1997","TN","cep",0.0546622970852818
"1997","TN","wst",0.107133917869714
"1997","TN","mot",1.60305441076934
"1997","TN","adm",1.26627724388115
"1997","TN","soc",0.0781878485914945
"1997","TN","alt",0.226801148578318
"1997","TN","pmt",0.721533650270564
"1997","TN","trk",0.592413847872495
"1997","TN","fdd",3.35434285142261
"1997","TN","gmt",0.281322510561974
"1997","TN","wtt",0.0221568627362897
"1997","TN","wpd",0.193864830779674
"1997","TN","wht",2.67302896480908
"1997","TN","wrh",0.0712597006663898
"1997","TN","ott",1.40482393640943
"1997","TN","che",1.30564778164934
"1997","TN","air",0.178748248961589
"1997","TN","mmf",0.679537016825453
"1997","TN","otr",0.443646556610746
"1997","TN","min",0.146812215547918
"1997","WI","ppd",2.0828134575547
"1997","WI","res",0.430929583718013
"1997","WI","com",0.110233432943649
"1997","WI","amb",0.730643772565408
"1997","WI","fbp",1.10953620482538
"1997","WI","rec",0.163320920612073
"1997","WI","con",1.57702650356667
"1997","WI","agr",1.86059561309923
"1997","WI","eec",1.49643509468651
"1997","WI","fnd",0.376383639097836
"1997","WI","pub",0.666875919222568
"1997","WI","hou",11.4305217245237
"1997","WI","fbt",0.39287021577034
"1997","WI","ins",2.74750646180813
"1997","WI","tex",0.0297143346251445
"1997","WI","leg",0.282321333366578
"1997","WI","fen",0.121966419363608
"1997","WI","uti",1.63020959108296
"1997","WI","nmp",0.414278940025159
"1997","WI","brd",1.46556493660289
"1997","WI","bnk",0.910131499488232
"1997","WI","ore",2.38040324651258
"1997","WI","edu",0.218620235376499
"1997","WI","ote",0.020244587602409
"1997","WI","man",0.243939347207303
"1997","WI","mch",1.31760761758162
"1997","WI","dat",0.0907308568053761
"1997","WI","amd",0.221886475148393
"1997","WI","oil",0.000546749160583947
"1997","WI","hos",0.320296152173885
"1997","WI","rnt",0.714191505989723
"1997","WI","pla",0.67087505059351
"1997","WI","fof",0.175106926722748
"1997","WI","fin",0.0175050092157334
"1997","WI","tsv",1.19318840653376
"1997","WI","nrs",0.0824896116964564
"1997","WI","sec",0.250648259721179
"1997","WI","art",0.165811969360164
"1997","WI","mov",0.0656836056838039
"1997","WI","fpd",0.130719379203001
"1997","WI","slg",0.660198487482112
"1997","WI","pri",0.12585256339967
"1997","WI","grd",0.0996037009962795
"1997","WI","pip",0.00138518264380292
"1997","WI","sle",0.0788227530561078
"1997","WI","osv",0.830156027555569
"1997","WI","trn",0.0938618399705871
"1997","WI","smn",0.00135270623308313
"1997","WI","fmt",1.81366789188623
"1997","WI","pet",0.0425353070052116
"1997","WI","mvt",0.520309372137088
"1997","WI","cep",0.483416957095625
"1997","WI","wst",0.0918301492598359
"1997","WI","mot",0.815633507023029
"1997","WI","adm",0.44097674149629
"1997","WI","soc",0.10750041765371
"1997","WI","alt",0.0697809734692877
"1997","WI","pmt",0.265276890017248
"1997","WI","trk",0.791171242533256
"1997","WI","fdd",0.698395534391382
"1997","WI","gmt",0.252853072469519
"1997","WI","wtt",0.00396935767587163
"1997","WI","wpd",0.230733808432039
"1997","WI","wht",2.31330979144035
"1997","WI","wrh",0.0516267009234077
"1997","WI","ott",1.24198969575108
"1997","WI","che",1.24474846663053
"1997","WI","air",0.0522397137521201
"1997","WI","mmf",0.226588198381104
"1997","WI","otr",0.15246172266838
"1997","WI","min",0.0652274118920554
"1997","RI","ppd",0.0232140128796969
"1997","RI","res",0.112789833273784
"1997","RI","com",0.0307147331249996
"1997","RI","amb",0.165631800066858
"1997","RI","fbp",0.0125561434216962
"1997","RI","rec",0.0711022492038405
"1997","RI","con",0.596683530273483
"1997","RI","agr",0.0153170200518647
"1997","RI","eec",0.141417916371591
"1997","RI","fnd",0.152854668146149
"1997","RI","pub",0.101108845420613
"1997","RI","hou",2.51387303048647
"1997","RI","fbt",0.0781843960281495
"1997","RI","ins",0.52108077195969
"1997","RI","tex",0.0371232256779875
"1997","RI","leg",0.119217735971292
"1997","RI","fen",0.0661253996528362
"1997","RI","uti",0.289058199249144
"1997","RI","nmp",0.0278709198521005
"1997","RI","brd",0.34576722230316
"1997","RI","bnk",0.414225114468145
"1997","RI","ore",0.5572434184304
"1997","RI","edu",0.123037857290082
"1997","RI","ote",0.0227091356108021
"1997","RI","man",0.0507765794198889
"1997","RI","mch",0.0241106008384571
"1997","RI","dat",0.0645451110070997
"1997","RI","amd",0.0523339755006594
"1997","RI","hos",0.0996948051751738
"1997","RI","rnt",0.129569171033125
"1997","RI","pla",0.0912422950949848
"1997","RI","fof",0.0500663524994915
"1997","RI","fin",0.0195494618231131
"1997","RI","tsv",0.273800059664161
"1997","RI","nrs",0.0319931748625241
"1997","RI","sec",0.00711635327946206
"1997","RI","art",0.0572513380454984
"1997","RI","mov",0.0104013608887984
"1997","RI","fpd",0.0161434058065949
"1997","RI","slg",0.625188268142891
"1997","RI","pri",0.0146790968436484
"1997","RI","grd",0.0237732160441628
"1997","RI","pip",0.00197497714406499
"1997","RI","sle",0.580172042254374
"1997","RI","osv",0.197095055943259
"1997","RI","trn",0.00162835902029041
"1997","RI","smn",0.000949768009082173
"1997","RI","fmt",0.0645755796532408
"1997","RI","pet",0.00534440294168941
"1997","RI","mvt",0.0967539434086476
"1997","RI","cep",0.10575594980851
"1997","RI","wst",0.0245670560503235
"1997","RI","mot",0.170436960863581
"1997","RI","adm",0.109865837684146
"1997","RI","soc",0.0173674805086936
"1997","RI","alt",0.00660552333429093
"1997","RI","pmt",0.0409835436063035
"1997","RI","trk",0.0562709660099366
"1997","RI","fdd",0.194115635601352
"1997","RI","gmt",0.0555908312066886
"1997","RI","wtt",0.00240795354422765
"1997","RI","wpd",0.00655304435953215
"1997","RI","wht",0.412126263381307
"1997","RI","wrh",0.0055097638757972
"1997","RI","ott",0.239568946374961
"1997","RI","che",0.119250584273103
"1997","RI","air",0.0512075281062896
