"yr","r","s","Val"
"1997","IA","ppd",0.196409492098152
"1997","IA","res",0.564795212706278
"1997","IA","com",0.224388936705187
"1997","IA","amb",1.7819439548182
"1997","IA","fbp",1.65438599503716
"1997","IA","rec",0.117229889766151
"1997","IA","con",2.18946640411348
"1997","IA","agr",0.312304734313889
"1997","IA","eec",0.498682086157262
"1997","IA","fnd",0.832659620730712
"1997","IA","pub",0.429766350306735
"1997","IA","hou",0.152543027829816
"1997","IA","fbt",0.578739580237768
"1997","IA","ins",1.68460857907739
"1997","IA","tex",0.0275622287833085
"1997","IA","leg",0.288096579443057
"1997","IA","fen",0.419427918795313
"1997","IA","uti",0.467314240800754
"1997","IA","nmp",0.261992247695601
"1997","IA","brd",0.535998276046921
"1997","IA","bnk",1.07954773411483
"1997","IA","ore",0.0595106291351058
"1997","IA","edu",0.54584971894103
"1997","IA","ote",0.0378994000901518
"1997","IA","man",0.342588030484333
"1997","IA","mch",1.94777654936082
"1997","IA","dat",0.222201491715612
"1997","IA","amd",0.321813077760155
"1997","IA","oil",0.00020096956845814
"1997","IA","hos",1.10850827474141
"1997","IA","rnt",0.121709941642439
"1997","IA","pla",0.614758816619493
"1997","IA","fof",0.0525785535635468
"1997","IA","fin",0.000579568026671524
"1997","IA","tsv",0.859405752534126
"1997","IA","nrs",0.391999491535645
"1997","IA","sec",0.212138764917964
"1997","IA","art",0.17676290085272
"1997","IA","mov",0.0741091567888876
"1997","IA","fpd",0.300015120003225
"1997","IA","slg",1.1097960895195
"1997","IA","pri",0.357372858614907
"1997","IA","grd",0.0283929255688031
"1997","IA","pip",0.0206598926442359
"1997","IA","sle",0.122977239416197
"1997","IA","osv",1.29662193376766
"1997","IA","trn",0.285663511192724
"1997","IA","smn",0.00166464826784639
"1997","IA","fmt",0.811889299153181
"1997","IA","pet",0.0229994160405595
"1997","IA","mvt",0.695019712543556
"1997","IA","cep",0.678347155691653
"1997","IA","wst",0.0579212841631732
"1997","IA","mot",0.678102399150036
"1997","IA","adm",0.976779709327053
"1997","IA","soc",0.55244603746521
"1997","IA","alt",0.105383747059219
"1997","IA","pmt",0.405897484007861
"1997","IA","trk",0.793572895914558
"1997","IA","fdd",0.891792399520879
"1997","IA","gmt",0.427930787507163
"1997","IA","wtt",0.0132006277548818
"1997","IA","wpd",0.301100984219469
"1997","IA","wht",2.68626876901644
"1997","IA","wrh",0.231531534729929
"1997","IA","ott",1.74965967676304
"1997","IA","che",0.363926333226472
"1997","IA","air",0.0314539351944555
"1997","IA","mmf",0.23713278208532
"1997","IA","otr",0.230497770976671
"1997","IA","min",0.0765175052209041
"1997","FL","ppd",0.689324893826557
"1997","FL","res",9.65864366913218
"1997","FL","com",1.98607415661091
"1997","FL","amb",12.8415785162893
"1997","FL","fbp",1.6947664844159
"1997","FL","rec",1.62005237973127
"1997","FL","con",12.2370703893242
"1997","FL","agr",0.88377272166896
"1997","FL","eec",0.499596519329052
"1997","FL","fnd",3.26390051690349
"1997","FL","pub",1.80970886522853
"1997","FL","fbt",3.49832427566271
"1997","FL","ins",5.59136954124834
"1997","FL","tex",0.285448247355054
"1997","FL","leg",5.05522397794923
"1997","FL","fen",2.28369257965041
"1997","FL","uti",1.87455579155701
"1997","FL","nmp",0.844402386600231
"1997","FL","brd",4.08814177070523
"1997","FL","bnk",6.15070717488794
"1997","FL","ore",2.07371197365738
"1997","FL","edu",1.99274254257003
"1997","FL","ote",2.2662706430551
"1997","FL","man",3.23984993056841
"1997","FL","mch",1.27194748998918
"1997","FL","dat",1.01387978784037
"1997","FL","amd",2.54493123037358
"1997","FL","oil",0.0117334837260958
"1997","FL","hos",7.53845546990458
"1997","FL","rnt",1.38107484544026
"1997","FL","pla",0.570101788939789
"1997","FL","fof",0.824493765381725
