"TableName","SeriesCode","LineNumber","LineDescription","METRIC_NAME","CL_UNIT","UNIT_MULT","year","value"
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2000,8655919
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2001,9012810
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2002,9160943
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2003,9498517
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2004,10044262
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2005,10604929
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2006,11384699
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2007,12021358
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2008,12477557
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2009,12080411
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2010,12594517
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2011,13339291
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2012,14014339
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2013,14193635
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2014,14976569
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2015,15685228
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2016,16096893
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2017,16839839
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2018,17683797
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2019,18586994
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2020,19832307
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2021,21294815
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2000,5847146
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2001,6038348
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2002,6135115
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2003,6353606
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2004,6719488
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2005,7066107
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2006,7479676
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2007,7878475
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2008,8056826
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2009,7759019
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2010,7925369
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2011,8226175
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2012,8567363
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2013,8835039
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2014,9250208
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2015,9699419
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2016,9966108
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2017,10424372
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2018,10957908
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2019,11448121
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2020,11592747
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2021,12538481
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2000,4824946
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2001,4953635
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2002,4995843
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2003,5138269
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2004,5421014
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2005,5691379
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2006,6056739
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2007,6396392
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2008,6534095
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2009,6249110
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2010,6372510
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2011,6626182
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2012,6928124
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2013,7113994
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2014,7476332
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2015,7859482
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2016,8091239
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2017,8474410
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2018,8900024
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2019,9324591
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2020,9457379
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2021,10290106
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2000,4045159
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2001,4131637
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2002,4122977
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2003,4224317
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2004,4468675
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2005,4700059
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2006,5022214
"T20100","A132RC","4","Private industries","Current Dollars","Level","6",2007,5307847
