"r","hh1","hh2","hh3","hh4","hh5"
"me",0.14534068,0.13317218,0.11322768,0.14756246,0.03784366
"nh",0.08768515,0.09646869,0.08389039,0.17205201,0.08668101
"vt",0.04920437,0.06235561,0.05146085,0.07765351,0.02769909
"ma",0.65953859,0.43718553,0.39529609,0.69059976,0.47649192
"ri",0.09897685,0.10229521,0.06845257,0.11166681,0.06160991
"ct",0.25789681,0.2736546,0.22229129,0.41492379,0.24505005
"ny",2.03262411,1.64364854,1.11276227,1.96314585,1.12135477
"nj",0.63079082,0.68542435,0.53653018,0.88526639,0.57453886
"pa",1.11740573,1.27646264,0.81400519,1.34241557,0.60091837
"oh",1.2601995,1.17823099,0.84740661,1.13579551,0.40461983
"in",0.64175979,0.72128908,0.45168591,0.58267054,0.21763297
"il",1.1930563,1.18373713,0.90720468,1.25311007,0.61392844
"mi",0.94947274,0.97444866,0.74588223,1.0306182,0.34765244
"wi",0.50896955,0.50074371,0.50763058,0.67474737,0.19868666
"mn",0.34547611,0.46752079,0.36852328,0.62063224,0.35726786
"ia",0.27100437,0.29754745,0.20948582,0.36668106,0.11482332
"mo",0.52068387,0.5696914,0.43689878,0.63710032,0.25661756
"nd",0.06233363,0.07256345,0.05306499,0.09743625,0.0325269
"sd",0.0865655,0.08605113,0.061838,0.09429194,0.03290671
"ne",0.16268765,0.18253061,0.12807232,0.21378372,0.07584677
"ks",0.26200436,0.29677389,0.19778376,0.29039244,0.11277018
"de",0.07469419,0.09094351,0.06984321,0.09674998,0.04103143
"md",0.39024893,0.36511881,0.34542456,0.68035724,0.44884431
"dc",0.07889027,0.05242857,0.03444914,0.08337407,0.06779769
"va",0.56797334,0.70963561,0.47400909,0.92596323,0.52646041
"wv",0.26299427,0.20051535,0.11591361,0.15135983,0.04597356
"nc",1.11075023,1.00026068,0.62980755,0.8712624,0.38428151
"sc",0.53707669,0.54502167,0.3599164,0.37662594,0.15770325
"ga",1.02551297,0.9734514,0.69462307,0.91261607,0.34163032
"fl",2.22374701,2.15761257,1.36005838,1.66852794,0.65875917
"ky",0.53376469,0.48928701,0.30401105,0.37384049,0.12909027
"tn",0.82550266,0.70370995,0.46346901,0.56508442,0.19966859
"al",0.58615326,0.52431082,0.28207015,0.43227256,0.13699121
"ms",0.4379152,0.29396297,0.17400082,0.20433864,0.06388311
"ar",0.3413154,0.30719352,0.21664972,0.24608381,0.05935175
"la",0.62214804,0.40964857,0.26331745,0.41645197,0.13201231
"ok",0.40545521,0.39233014,0.28404952,0.32171218,0.11509038
"tx",2.32723942,2.3023601,1.79094047,2.44087911,1.05456443
"mt",0.09708384,0.11576404,0.08675947,0.0957089,0.03654489
"id",0.11724388,0.16687204,0.11122732,0.16505685,0.04775207
"wy",0.05126286,0.05955728,0.04264409,0.0692105,0.02021354
"co",0.43080505,0.47030103,0.4162926,0.62371194,0.27883681
"nm",0.23571269,0.19453804,0.14666527,0.19280382,0.05075611
"az",0.72128211,0.60389516,0.4714979,0.61741884,0.19974312
"ut",0.16472115,0.21437997,0.20355777,0.30249873,0.0998694
"nv",0.29522463,0.30638143,0.24545494,0.23181714,0.09087639
"wa",0.53707064,0.65044447,0.49974708,0.74829658,0.35846063
"or",0.3760894,0.34410422,0.28404747,0.4450404,0.16779008
"ca",3.09877168,2.86708895,2.16860279,3.62406995,1.98347124
"ak",0.05458981,0.04535075,0.04132033,0.08198728,0.03826674
"hi",0.08575967,0.08315133,0.07362673,0.15541982,0.06154237
