"r","rr","value"
"WV","WV",0
"WV","FL",11.445167198933
"WV","IL",7.52319164594304
"WV","MN",14.0354905882811
"WV","MD",3.42322870677183
"WV","RI",8.40060329604764
"WV","ID",28.8689030884768
"WV","NH",9.41836311310339
"WV","NC",3.71064629037483
"WV","VT",8.97602547896971
"WV","CT",7.45358036692605
"WV","DE",4.49300129164818
"WV","NM",23.2041417034876
"WV","CA",34.0652925529575
"WV","NJ",5.37962800962903
"WV","WI",10.0942940364906
"WV","OR",33.6276201332117
"WV","NE",16.6258674504902
"WV","PA",3.45405764743886
"WV","WA",33.5551079311494
"WV","LA",13.3603902806539
"WV","GA",7.15072556570543
"WV","AL",8.63558542017612
"WV","UT",26.7586179218145
"WV","OH",2.67056020011753
"WV","TX",18.7860217594458
"WV","CO",21.5612415816169
"WV","SC",5.30882358179674
"WV","OK",15.3551384360169
"WV","TN",5.95589666481943
"WV","WY",23.099524578701
"WV","HI",75.2146367884656
"WV","ND",18.8123166407028
"WV","KY",4.28140756994813
"WV","ME",11.9689019570248
"WV","NY",6.36702639778969
"WV","NV",30.981805766355
"WV","AK",53.1315721263107
"WV","MI",8.13155847357004
"WV","AR",11.3272452028794
"WV","MS",10.4971374640779
"WV","MO",10.3322169313599
"WV","MT",25.2910224809463
"WV","KS",15.441140875455
"WV","IN",5.08574496180973
"WV","SD",17.516936194428
"WV","MA",8.65205000621276
"WV","VA",2.12101119180837
"WV","DC",3.13551561079103
"WV","IA",11.5654319674887
"WV","AZ",28.0778339094324
"FL","WV",11.445167198933
"FL","FL",0
"FL","IL",14.3366685232275
"FL","MN",22.3798735467445
"FL","MD",12.8169153656425
"FL","RI",17.6497819630827
"FL","ID",33.5121940247902
"FL","NH",19.5177392045155
"FL","NC",8.45343502086492
"FL","VT",19.4316319220815
"FL","CT",17.0390138898677
"FL","DE",13.3774066915832
"FL","NM",23.3442338043642
"FL","CA",35.8704139988189
"FL","NJ",14.7936235632821
"FL","WI",19.1096906533717
"FL","OR",37.8895231878516
"FL","NE",21.3976713390888
"FL","PA",14.4537503437365
"FL","WA",38.9810916360143
"FL","LA",9.43261296806891
"FL","GA",4.72319628788109
